family,case,tier,fixture_bytes,fixture_files,fixture_profile,seed,sample_count,timer,elapsed_ns,status,verification,target_ns,target_status,preparation_wall_ns,command_wall_ns,create_ns,exec_ns,sdk_edit_ns,commit_ns,visibility_ns,end_ns,host_peak_rss_bytes,container_peak_bytes,host_cpu_ns,host_cpu_scope,container_cpu_ns,verification_wall_seconds,apply_ns,git_first_status_ns,git_diff_ns,git_add_ns,git_cached_check_ns,git_commit_ns,git_final_status_ns,previous_elapsed_ns,difference_ns,difference_percent,resource_status,cleanup_status,cleanup_wall_ns,source_identity,product_identity,harness_identity,input_identity,image,proof_evidence,evidence
payload_create_read,payload-create-1m-compact-v2,1,0,0,compact-low-tier-v2,,1,pure_call_sum_ns,28837459,PASS,PASS,15000000000,PASS,549385167,379626625,8810292,8517084,,8804500,84333,2621250,14565376,8749056,29537584,host process after-product minus before counters,21137000,1.6539817498996854,,,,,,,,42038543,-13201084,-31.402334757415357,PASS,PASS,343917500,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,3c797bc6dbfd9b03b919c270b609cad839000b68d67e34f3b00d24717e07f39a,91ef300dcb8b8bd17be59dbf2e54b90d36aee62d492cc493dda3f0cfb3ab92cb,7ba327675323af116f6b4b5c32937db7b822cfcaa1b5c2f65c12b395b5a322fc,sha256:9975b10f41d41af17ec0cdd625d587d67f618db475d9390e3c1fe1a31fbe0865,verification/payload_create_read/payload-create-1m-compact-v2/verification.json,performance/payload_create_read/payload-create-1m-compact-v2/perf.jsonl
payload_create_read,payload-create-10m-compact-v2,10,0,0,compact-low-tier-v2,,1,pure_call_sum_ns,91556041,PASS,PASS,15000000000,PASS,492184083,451357584,7388083,28728583,,50850958,101000,4487417,37011456,10469376,69857834,host process after-product minus before counters,33261000,1.8620274169370532,,,,,,,,90331084,1224957,1.3560747261706723,PASS,PASS,333674500,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,3c797bc6dbfd9b03b919c270b609cad839000b68d67e34f3b00d24717e07f39a,91ef300dcb8b8bd17be59dbf2e54b90d36aee62d492cc493dda3f0cfb3ab92cb,9403f5ee714af4f29b5bc7ebcb91147717068900f5f81ec95423c20050c7b59d,sha256:9975b10f41d41af17ec0cdd625d587d67f618db475d9390e3c1fe1a31fbe0865,verification/payload_create_read/payload-create-10m-compact-v2/verification.json,performance/payload_create_read/payload-create-10m-compact-v2/perf.jsonl
payload_create_read,payload-create-100m,100,0,0,registered-fixture,,1,pure_call_sum_ns,682771167,PASS,PASS,15000000000,PASS,541711292,1075021791,8514292,240635208,,428711375,147125,4763167,65306624,11739136,497751541,host process after-product minus before counters,120017000,3.2236744998954237,,,,,,,,723610666,-40839499,-5.643849782612243,PASS,PASS,356719584,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,3c797bc6dbfd9b03b919c270b609cad839000b68d67e34f3b00d24717e07f39a,91ef300dcb8b8bd17be59dbf2e54b90d36aee62d492cc493dda3f0cfb3ab92cb,2e4590ae8156ec301ed89adc3f82d3c37f00dff1601e675a86796344dca35a4d,sha256:9975b10f41d41af17ec0cdd625d587d67f618db475d9390e3c1fe1a31fbe0865,verification/payload_create_read/payload-create-100m/verification.json,performance/payload_create_read/payload-create-100m/perf.jsonl
payload_create_read,payload-create-500m,500,0,0,registered-fixture,,1,pure_call_sum_ns,3068249542,PASS,PASS,15000000000,PASS,596529625,3585870250,8262083,1112948709,,1941935000,90375,5013375,74334208,12976128,2361745792,host process after-product minus before counters,436017000,9.37614162499085,,,,,,,,3368999209,-300749667,-8.926973511794612,PASS,PASS,360316375,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,3c797bc6dbfd9b03b919c270b609cad839000b68d67e34f3b00d24717e07f39a,91ef300dcb8b8bd17be59dbf2e54b90d36aee62d492cc493dda3f0cfb3ab92cb,6e9f496377ec23498ebfc3e0e3dc1d96e57cf2eb34be8a375369dad0e62271f8,sha256:9975b10f41d41af17ec0cdd625d587d67f618db475d9390e3c1fe1a31fbe0865,verification/payload_create_read/payload-create-500m/verification.json,performance/payload_create_read/payload-create-500m/perf.jsonl
payload_create_read,payload-random-read-1-compact-v2,1,1048576,1,compact-low-tier-v2,,1,pure_call_sum_ns,14584500,PASS,PASS,15000000000,PASS,553973000,341726209,7431500,3194542,,1378750,87583,2492125,8962048,5918720,20054833,host process after-product minus before counters,18698000,1.8159785000607371,,,,,,,,15507833,-923333,-5.953978225068583,PASS,PASS,339918542,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,3c797bc6dbfd9b03b919c270b609cad839000b68d67e34f3b00d24717e07f39a,91ef300dcb8b8bd17be59dbf2e54b90d36aee62d492cc493dda3f0cfb3ab92cb,7721dca14659fe2c2a3d7542fc65691801a0634a1060a446207187fdd172100a,sha256:9975b10f41d41af17ec0cdd625d587d67f618db475d9390e3c1fe1a31fbe0865,verification/payload_create_read/payload-random-read-1-compact-v2/verification.json,performance/payload_create_read/payload-random-read-1-compact-v2/perf.jsonl
payload_create_read,payload-random-read-10-compact-v2,10,10485760,1,compact-low-tier-v2,,1,pure_call_sum_ns,17420292,PASS,PASS,15000000000,PASS,689375875,333657750,7038250,6405250,,1575417,73250,2328125,10502144,4784128,19078500,host process after-product minus before counters,19063000,2.0634160828776658,,,,,,,,20241250,-2820958,-13.936678811832273,PASS,PASS,345970834,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,3c797bc6dbfd9b03b919c270b609cad839000b68d67e34f3b00d24717e07f39a,91ef300dcb8b8bd17be59dbf2e54b90d36aee62d492cc493dda3f0cfb3ab92cb,f166d08e1421f5e9b658a6bb0e390975345fa95fcde2a78bc64ca068903d5eeb,sha256:9975b10f41d41af17ec0cdd625d587d67f618db475d9390e3c1fe1a31fbe0865,verification/payload_create_read/payload-random-read-10-compact-v2/verification.json,performance/payload_create_read/payload-random-read-10-compact-v2/perf.jsonl
payload_create_read,payload-random-read-100,100,524288000,1,registered-fixture,,1,pure_call_sum_ns,56396250,PASS,PASS,15000000000,PASS,8427062000,393079167,8674791,43873750,,1610584,80917,2156208,29949952,5124096,36215459,host process after-product minus before counters,28536000,14.759463042020798,,,,,,,,65572875,-9176625,-13.99454423799475,PASS,PASS,753823792,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,3c797bc6dbfd9b03b919c270b609cad839000b68d67e34f3b00d24717e07f39a,91ef300dcb8b8bd17be59dbf2e54b90d36aee62d492cc493dda3f0cfb3ab92cb,bebb0e1d2eb6da3651a0cbcf6bfbbebfa5e266ba780375d9ca80be17ff0edc7d,sha256:9975b10f41d41af17ec0cdd625d587d67f618db475d9390e3c1fe1a31fbe0865,verification/payload_create_read/payload-random-read-100/verification.json,performance/payload_create_read/payload-random-read-100/perf.jsonl
payload_create_read,payload-random-read-500,500,524288000,1,registered-fixture,,1,pure_call_sum_ns,219687084,PASS,PASS,15000000000,PASS,2379777958,598263375,8657083,206589667,,2072084,86625,2281625,51232768,12517376,92612250,host process after-product minus before counters,71467000,8.67045862507075,,,,,,,,278838792,-59151708,-21.21358637932989,PASS,PASS,729985959,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,3c797bc6dbfd9b03b919c270b609cad839000b68d67e34f3b00d24717e07f39a,91ef300dcb8b8bd17be59dbf2e54b90d36aee62d492cc493dda3f0cfb3ab92cb,faa784f54007aebfeb8c23efb01ead351e4b21bf872fcc1982269e7319ad2bd3,sha256:9975b10f41d41af17ec0cdd625d587d67f618db475d9390e3c1fe1a31fbe0865,verification/payload_create_read/payload-random-read-500/verification.json,performance/payload_create_read/payload-random-read-500/perf.jsonl
dedup_workspace_reuse,dedup-workspace-exact-1-compact-v2,1,1048576,1,compact-low-tier-v2,,1,pure_call_sum_ns,31563458,PASS,PASS,15000000000,PASS,606461250,386592375,8281167,10357541,,9724000,84417,3116333,15548416,7868416,31071876,host process after-product minus before counters,23625000,2.724054167047143,,,,,,,,34458042,-2894584,-8.400314794438987,PASS,PASS,346385583,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,3c797bc6dbfd9b03b919c270b609cad839000b68d67e34f3b00d24717e07f39a,91ef300dcb8b8bd17be59dbf2e54b90d36aee62d492cc493dda3f0cfb3ab92cb,ca19e4f72457dd1cae84161ddc4a2f699101f134317055b0a7d22620be18d6a4,sha256:9975b10f41d41af17ec0cdd625d587d67f618db475d9390e3c1fe1a31fbe0865,verification/dedup_workspace_reuse/dedup-workspace-exact-1-compact-v2/verification.json,performance/dedup_workspace_reuse/dedup-workspace-exact-1-compact-v2/perf.jsonl
dedup_workspace_reuse,dedup-workspace-exact-10-compact-v2,10,10485760,10,compact-low-tier-v2,,1,pure_call_sum_ns,109324875,PASS,PASS,15000000000,PASS,778530416,446972250,9041625,43101791,,54570834,72708,2537917,40960000,12906496,86684166,host process after-product minus before counters,34989000,2.1237384169362485,,,,,,,,124068374,-14743499,-11.883366022029112,PASS,PASS,348367875,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,3c797bc6dbfd9b03b919c270b609cad839000b68d67e34f3b00d24717e07f39a,91ef300dcb8b8bd17be59dbf2e54b90d36aee62d492cc493dda3f0cfb3ab92cb,74a8c5389ec948e021aa50a2e0931868aebe2a0487220f16cbff5ba309ab6822,sha256:9975b10f41d41af17ec0cdd625d587d67f618db475d9390e3c1fe1a31fbe0865,verification/dedup_workspace_reuse/dedup-workspace-exact-10-compact-v2/verification.json,performance/dedup_workspace_reuse/dedup-workspace-exact-10-compact-v2/perf.jsonl
