family,case,timer,baseline_elapsed_ns,g0_elapsed_ns,difference_ns,difference_percent,slowdown_factor,g1_diagnostic_elapsed_ns,baseline_source,g0_source,g0_verification,baseline_evidence,g0_evidence
dedup_cdc_locality,dedup-cdc-overwrite-500,pure_call_sum_ns,122035083,884666916,762631833,624.9283519559699,7.249283519559699,,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,dcfddc7a6b25051e78ac61102a0996aa5e330821f61b6ea0d3ac89fe9dcc869d,PASS,../../0.1.3/checkpoint-evidence/raw/performance/dedup_cdc_locality/dedup-cdc-overwrite-500/perf.jsonl,raw/generations/g0/performance/dedup_cdc_locality/dedup-cdc-overwrite-500/perf.jsonl
store_footprint,store-footprint-metadata-cardinality-100000,product_call_sum_ns,4570429959,32248933458,27678503499,605.5995551249187,7.055995551249186,,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,dcfddc7a6b25051e78ac61102a0996aa5e330821f61b6ea0d3ac89fe9dcc869d,TIMEOUT,../../0.1.3/checkpoint-evidence/raw/performance/store_footprint/store-footprint-metadata-cardinality-100000/perf.jsonl,raw/generations/g0/performance/store_footprint/store-footprint-metadata-cardinality-100000/perf.jsonl
dedup_cdc_locality,dedup-cdc-delete-500,pure_call_sum_ns,130863875,917832166,786968291,601.364044126005,7.0136404412600495,,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,dcfddc7a6b25051e78ac61102a0996aa5e330821f61b6ea0d3ac89fe9dcc869d,PASS,../../0.1.3/checkpoint-evidence/raw/performance/dedup_cdc_locality/dedup-cdc-delete-500/perf.jsonl,raw/generations/g0/performance/dedup_cdc_locality/dedup-cdc-delete-500/perf.jsonl
dedup_cdc_locality,dedup-cdc-insert-500,pure_call_sum_ns,136775833,932394458,795618625,581.6953240562607,6.816953240562607,,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,dcfddc7a6b25051e78ac61102a0996aa5e330821f61b6ea0d3ac89fe9dcc869d,PASS,../../0.1.3/checkpoint-evidence/raw/performance/dedup_cdc_locality/dedup-cdc-insert-500/perf.jsonl,raw/generations/g0/performance/dedup_cdc_locality/dedup-cdc-insert-500/perf.jsonl
dedup_cross_file,dedup-cross-file-identical-500,pure_call_sum_ns,110630125,663196333,552566208,499.4717379194862,5.994717379194862,,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,dcfddc7a6b25051e78ac61102a0996aa5e330821f61b6ea0d3ac89fe9dcc869d,PASS,../../0.1.3/checkpoint-evidence/raw/performance/dedup_cross_file/dedup-cross-file-identical-500/perf.jsonl,raw/generations/g0/performance/dedup_cross_file/dedup-cross-file-identical-500/perf.jsonl
dedup_cdc_locality,dedup-cdc-overwrite-100,pure_call_sum_ns,30952625,177461584,146508959,473.33290472132813,5.733329047213282,,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,dcfddc7a6b25051e78ac61102a0996aa5e330821f61b6ea0d3ac89fe9dcc869d,PASS,../../0.1.3/checkpoint-evidence/raw/performance/dedup_cdc_locality/dedup-cdc-overwrite-100/perf.jsonl,raw/generations/g0/performance/dedup_cdc_locality/dedup-cdc-overwrite-100/perf.jsonl
dedup_cdc_locality,dedup-cdc-insert-100,pure_call_sum_ns,34183250,191290209,157106959,459.6021706537559,5.596021706537559,,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,dcfddc7a6b25051e78ac61102a0996aa5e330821f61b6ea0d3ac89fe9dcc869d,PASS,../../0.1.3/checkpoint-evidence/raw/performance/dedup_cdc_locality/dedup-cdc-insert-100/perf.jsonl,raw/generations/g0/performance/dedup_cdc_locality/dedup-cdc-insert-100/perf.jsonl
dedup_cdc_locality,dedup-cdc-delete-100,pure_call_sum_ns,33165583,176584000,143418417,432.4314666803837,5.324314666803837,,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,dcfddc7a6b25051e78ac61102a0996aa5e330821f61b6ea0d3ac89fe9dcc869d,PASS,../../0.1.3/checkpoint-evidence/raw/performance/dedup_cdc_locality/dedup-cdc-delete-100/perf.jsonl,raw/generations/g0/performance/dedup_cdc_locality/dedup-cdc-delete-100/perf.jsonl
init_namespace,namespace-100000,layerstack_init_ns,2603162083,13565385375,10962223292,421.11182256337435,5.211118225633744,12155402250,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,dcfddc7a6b25051e78ac61102a0996aa5e330821f61b6ea0d3ac89fe9dcc869d,TIMEOUT,../../0.1.3/checkpoint-evidence/raw/performance/init_namespace/namespace-100000/perf.jsonl,raw/generations/g0/performance/init_namespace/namespace-100000/perf.jsonl
dedup_cdc_locality,dedup-cdc-common-body-500,pure_call_sum_ns,244350083,1211042041,966691958,395.61760983727595,4.95617609837276,,1bedaeaa3d564286b8ff6a77365d3d7b144a6dc97e236466fa7066826a6acd19,dcfddc7a6b25051e78ac61102a0996aa5e330821f61b6ea0d3ac89fe9dcc869d,PASS,../../0.1.3/checkpoint-evidence/raw/performance/dedup_cdc_locality/dedup-cdc-common-body-500/perf.jsonl,raw/generations/g0/performance/dedup_cdc_locality/dedup-cdc-common-body-500/perf.jsonl
