role,kind,canonical_size_bin_bytes,objects_count,canonical_bytes,snapshot,status,provenance
FileState,FULL,64-255,75927,8048262,post-verification,derived,authenticated records
directory_map_branch,FULL,256-1023,278,135203,post-verification,derived,authenticated records
directory_map_branch,FULL,64-255,128,25253,post-verification,derived,authenticated records
directory_map_leaf,FULL,0-63,1,44,post-verification,derived,authenticated records
directory_map_leaf,FULL,1024-4095,1283,2728894,post-verification,derived,authenticated records
directory_map_leaf,FULL,256-1023,5789,2412056,post-verification,derived,authenticated records
directory_map_leaf,FULL,4096-16383,944,5162217,post-verification,derived,authenticated records
directory_map_leaf,FULL,64-255,6006,937396,post-verification,derived,authenticated records
directory_state,FULL,64-255,13647,1337406,post-verification,derived,authenticated records
extent_leaf,FULL,0-63,1,44,post-verification,derived,authenticated records
extent_leaf,FULL,1024-4095,92,120648,post-verification,derived,authenticated records
extent_leaf,FULL,256-1023,749,304996,post-verification,derived,authenticated records
extent_leaf,FULL,64-255,75085,6911420,post-verification,derived,authenticated records
inode_record,FULL,64-255,89576,8778448,post-verification,derived,authenticated records
inode_table_branch,FULL,1024-4095,52,125104,post-verification,derived,authenticated records
inode_table_branch,FULL,256-1023,14,9704,post-verification,derived,authenticated records
inode_table_branch,FULL,4096-16383,92,523024,post-verification,derived,authenticated records
inode_table_branch,FULL,64-255,1,172,post-verification,derived,authenticated records
inode_table_leaf,FULL,4096-16383,9889,56781804,post-verification,derived,authenticated records
inode_table_leaf,FULL,64-255,1,108,post-verification,derived,authenticated records
metadata_map_leaf,FULL,64-255,4,572,post-verification,derived,authenticated records
namespace_root,FULL,64-255,158,19118,post-verification,derived,authenticated records
payload_chunk,DELTA,1024-4095,1128,2707527,post-verification,derived,authenticated records
payload_chunk,DELTA,16384-65535,3459,73198063,post-verification,derived,authenticated records
payload_chunk,DELTA,256-1023,345,222041,post-verification,derived,authenticated records
payload_chunk,DELTA,4096-16383,3080,30467949,post-verification,derived,authenticated records
payload_chunk,DELTA,64-255,12,2342,post-verification,derived,authenticated records
payload_chunk,FULL,0-63,91,3889,post-verification,derived,authenticated records
payload_chunk,FULL,1024-4095,17614,41742433,post-verification,derived,authenticated records
payload_chunk,FULL,16384-65535,14031,279905148,post-verification,derived,authenticated records
payload_chunk,FULL,256-1023,14957,8192500,post-verification,derived,authenticated records
payload_chunk,FULL,4096-16383,30951,268591956,post-verification,derived,authenticated records
payload_chunk,FULL,64-255,749,129106,post-verification,derived,authenticated records
symlink_state,FULL,0-63,3,126,post-verification,derived,authenticated records
symlink_state,FULL,64-255,4,316,post-verification,derived,authenticated records
