role,objects_count,canonical_bytes,FULL_objects_count,DELTA_objects_count,snapshot,status,provenance
payload_chunk,86417,705162954,78393,8024,post-verification,derived,all selected authenticated objects
FileState,75927,8048262,75927,0,post-verification,derived,all selected authenticated objects
extent_leaf,75927,7337108,75927,0,post-verification,derived,all selected authenticated objects
extent_branch,0,0,0,0,post-verification,derived,all selected authenticated objects
inode_record,89576,8778448,89576,0,post-verification,derived,all selected authenticated objects
inode_table_leaf,9890,56781912,9890,0,post-verification,derived,all selected authenticated objects
inode_table_branch,159,658004,159,0,post-verification,derived,all selected authenticated objects
directory_state,13647,1337406,13647,0,post-verification,derived,all selected authenticated objects
directory_map_leaf,14023,11240607,14023,0,post-verification,derived,all selected authenticated objects
directory_map_branch,406,160456,406,0,post-verification,derived,all selected authenticated objects
metadata_map_leaf,4,572,4,0,post-verification,derived,all selected authenticated objects
metadata_map_branch,0,0,0,0,post-verification,derived,all selected authenticated objects
namespace_root,158,19118,158,0,post-verification,derived,all selected authenticated objects
symlink_state,7,442,7,0,post-verification,derived,all selected authenticated objects
other_supported_encoding,0,0,0,0,post-verification,derived,all selected authenticated objects
unknown,0,0,0,0,post-verification,derived,all selected authenticated objects
invalid,0,0,0,0,post-verification,derived,all selected authenticated objects
