snapshot,name,schema_type,page_type,pages_count,page_bytes,payload_bytes,unused_bytes,overhead_bytes,minimum_page_unused_bytes,counter_valid,population,provenance,status,null_reason
post-verification retained original; issue87 read-only census,branch_identity,index,internal,1,4096,37,4040,19,4040,True,exclusive pages by B-tree and page type; overflow already included,SQLite dbstat; overhead=page_bytes-payload_bytes-unused_bytes,measured counters; derived overhead,
post-verification retained original; issue87 read-only census,branch_identity,index,leaf,2,8192,5809,1896,487,888,True,exclusive pages by B-tree and page type; overflow already included,SQLite dbstat; overhead=page_bytes-payload_bytes-unused_bytes,measured counters; derived overhead,
post-verification retained original; issue87 read-only census,branch_names,index,internal,1,4096,47,4030,19,4030,True,exclusive pages by B-tree and page type; overflow already included,SQLite dbstat; overhead=page_bytes-payload_bytes-unused_bytes,measured counters; derived overhead,
post-verification retained original; issue87 read-only census,branch_names,index,leaf,2,8192,7424,281,487,136,True,exclusive pages by B-tree and page type; overflow already included,SQLite dbstat; overhead=page_bytes-payload_bytes-unused_bytes,measured counters; derived overhead,
post-verification retained original; issue87 read-only census,branches,table,internal,1,4096,461,3595,40,3595,True,exclusive pages by B-tree and page type; overflow already included,SQLite dbstat; overhead=page_bytes-payload_bytes-unused_bytes,measured counters; derived overhead,
post-verification retained original; issue87 read-only census,branches,table,leaf,5,20480,17754,2224,502,312,True,exclusive pages by B-tree and page type; overflow already included,SQLite dbstat; overhead=page_bytes-payload_bytes-unused_bytes,measured counters; derived overhead,
post-verification retained original; issue87 read-only census,commits,table,internal,1,4096,680,3364,52,3364,True,exclusive pages by B-tree and page type; overflow already included,SQLite dbstat; overhead=page_bytes-payload_bytes-unused_bytes,measured counters; derived overhead,
post-verification retained original; issue87 read-only census,commits,table,leaf,6,24576,20639,3282,655,28,True,exclusive pages by B-tree and page type; overflow already included,SQLite dbstat; overhead=page_bytes-payload_bytes-unused_bytes,measured counters; derived overhead,
post-verification retained original; issue87 read-only census,layer_identity,index,leaf,1,4096,53,4032,11,4032,True,exclusive pages by B-tree and page type; overflow already included,SQLite dbstat; overhead=page_bytes-payload_bytes-unused_bytes,measured counters; derived overhead,
post-verification retained original; issue87 read-only census,layer_stack_names,index,leaf,1,4096,33,4052,11,4052,True,exclusive pages by B-tree and page type; overflow already included,SQLite dbstat; overhead=page_bytes-payload_bytes-unused_bytes,measured counters; derived overhead,
post-verification retained original; issue87 read-only census,layer_stacks,table,leaf,1,4096,67,4018,11,4018,True,exclusive pages by B-tree and page type; overflow already included,SQLite dbstat; overhead=page_bytes-payload_bytes-unused_bytes,measured counters; derived overhead,
post-verification retained original; issue87 read-only census,layers,table,leaf,1,4096,89,3996,11,3996,True,exclusive pages by B-tree and page type; overflow already included,SQLite dbstat; overhead=page_bytes-payload_bytes-unused_bytes,measured counters; derived overhead,
post-verification retained original; issue87 read-only census,layers_child,index,leaf,1,4096,0,4088,8,4088,True,exclusive pages by B-tree and page type; overflow already included,SQLite dbstat; overhead=page_bytes-payload_bytes-unused_bytes,measured counters; derived overhead,
post-verification retained original; issue87 read-only census,layers_genesis,index,leaf,1,4096,53,4032,11,4032,True,exclusive pages by B-tree and page type; overflow already included,SQLite dbstat; overhead=page_bytes-payload_bytes-unused_bytes,measured counters; derived overhead,
post-verification retained original; issue87 read-only census,layers_source,index,leaf,1,4096,0,4088,8,4088,True,exclusive pages by B-tree and page type; overflow already included,SQLite dbstat; overhead=page_bytes-payload_bytes-unused_bytes,measured counters; derived overhead,
post-verification retained original; issue87 read-only census,object_packs,table,internal,8,32768,0,6190,26578,28,True,exclusive pages by B-tree and page type; overflow already included,SQLite dbstat; overhead=page_bytes-payload_bytes-unused_bytes,measured counters; derived overhead,
post-verification retained original; issue87 read-only census,object_packs,table,leaf,3323,13611008,10136572,3394732,79704,0,True,exclusive pages by B-tree and page type; overflow already included,SQLite dbstat; overhead=page_bytes-payload_bytes-unused_bytes,measured counters; derived overhead,
post-verification retained original; issue87 read-only census,object_packs,table,overflow,69889,286265344,285832491,153297,279556,0,True,exclusive pages by B-tree and page type; overflow already included,SQLite dbstat; overhead=page_bytes-payload_bytes-unused_bytes,measured counters; derived overhead,
post-verification retained original; issue87 read-only census,objects,table,internal,62,253952,194608,26848,32496,28,True,exclusive pages by B-tree and page type; overflow already included,SQLite dbstat; overhead=page_bytes-payload_bytes-unused_bytes,measured counters; derived overhead,
post-verification retained original; issue87 read-only census,objects,table,leaf,4537,18583552,15516587,1945854,1121111,0,True,exclusive pages by B-tree and page type; overflow already included,SQLite dbstat; overhead=page_bytes-payload_bytes-unused_bytes,measured counters; derived overhead,
post-verification retained original; issue87 read-only census,sqlite_schema,schema,internal,1,4096,0,3977,119,3977,True,exclusive pages by B-tree and page type; overflow already included,SQLite dbstat; overhead=page_bytes-payload_bytes-unused_bytes,measured counters; derived overhead,
post-verification retained original; issue87 read-only census,sqlite_schema,schema,leaf,2,8192,5347,2763,82,771,True,exclusive pages by B-tree and page type; overflow already included,SQLite dbstat; overhead=page_bytes-payload_bytes-unused_bytes,measured counters; derived overhead,
post-verification retained original; issue87 read-only census,workspace_stages,table,leaf,1,4096,0,4088,8,4088,True,exclusive pages by B-tree and page type; overflow already included,SQLite dbstat; overhead=page_bytes-payload_bytes-unused_bytes,measured counters; derived overhead,
