checkpoint,new_objects_count,new_canonical_bytes,eligible_payload_count,eligible_payload_canonical_bytes,FULL_payload_count,FULL_payload_canonical_bytes,DELTA_payload_count,DELTA_target_canonical_bytes,nohint_count,absent_predecessor_count,predecessor_present_nohint_count,hinted_FULL_count,correspondence_reserved_bytes,correspondence_skip_events,nohint_canonical_bytes_lower,nohint_canonical_bytes_upper,absent_predecessor_canonical_bytes_lower,absent_predecessor_canonical_bytes_upper,predecessor_present_nohint_canonical_bytes_lower,predecessor_present_nohint_canonical_bytes_upper,hinted_FULL_canonical_bytes_lower,hinted_FULL_canonical_bytes_upper
0,12,1050,2,58,2,58,0,0,2,2,0,0,0,0,58,58,58,58,0,0,0,0
1,1338,1632807,286,1495359,286,1495359,0,0,286,286,0,0,0,0,1495359,1495359,1495359,1495359,0,0,0,0
2,733,1441767,189,1356519,124,940892,65,415627,124,79,45,0,16654272,34,940892,940892,246817,866557,74335,694075,0,0
3,791,1613041,186,1513393,114,856571,72,656822,114,68,46,0,16654272,39,856571,856571,175631,798161,58410,680940,0,0
4,1511,2311143,309,2139260,244,1675587,65,463673,240,237,3,4,16654272,2,1579710,1674476,1517748,1673360,769,73238,1111,95877
5,1172,1980259,283,1838740,219,1537678,64,301062,218,86,132,1,16654272,118,1504889,1537624,80310,1228740,301925,1455038,54,32789
6,143,463401,37,406015,8,44575,29,361440,3,2,1,5,7605888,0,9114,26704,5582,20980,2516,14637,17871,35461
7,1083,2262432,249,2111149,183,1397091,66,714058,183,151,32,0,16654272,24,1397091,1397091,769360,1379999,17092,627731,0,0
8,1442,3307024,351,3113992,290,2630761,61,483231,285,148,137,5,16654272,112,2482693,2630047,483509,2188092,409820,2111770,714,148068
9,833,2101369,206,1959681,135,1201285,71,758396,130,42,88,5,16654272,78,1057891,1199405,94204,745065,406977,1083591,1880,143394
10,958,1822220,238,1674407,174,1259751,64,414656,174,10,164,0,16654272,155,1259751,1259751,7722,209269,1050482,1252029,0,0
11,1357,3905476,361,3719838,295,2917123,66,802715,282,53,229,13,16654272,189,2552852,2907215,116997,1122245,1578845,2748041,9908,364271
12,524,878408,109,750692,69,306355,40,444337,67,67,0,2,9179520,0,262975,306303,262975,306303,0,0,52,43380
13,1417,3893332,367,3686012,295,2888944,72,797068,292,133,159,3,16654272,123,2790852,2888092,413908,2246639,615253,2455219,852,98092
14,334,960334,84,854475,53,525568,31,328907,53,10,43,0,16654272,159,525568,525568,16025,205388,320180,509543,0,0
15,2204,4979416,527,4683668,473,4215203,54,468465,468,214,254,5,16654272,292,4084272,4214862,592368,3295143,878517,3590570,341,130931
16,874,2110927,226,1931281,149,1112257,77,819024,149,41,108,0,16654272,99,1112257,1112257,79823,634810,477447,1032434,0,0
17,3274,6923917,842,6556991,771,6029589,71,527402,769,92,677,2,16654272,613,5964011,6029175,63478,1866957,4128442,5964111,414,65578
18,1111,2566897,275,2363378,195,1470676,80,892702,191,52,139,4,16654272,129,1382400,1469832,64427,873774,553238,1394566,844,88276
19,780,1846039,193,1662732,124,1042994,69,619738,124,25,99,0,16654272,90,1042994,1042994,19530,450888,592106,1023464,0,0
20,149,300898,18,208419,10,118514,8,89905,10,1,9,0,16654272,506,118514,118514,1922,17196,101318,116592,0,0
21,745,761599,50,543020,42,431813,8,111207,39,9,30,3,16654272,468,350269,428766,13339,199080,180433,406924,3047,81544
22,3807,8392102,936,7931906,890,7531708,46,400198,880,352,528,10,16654272,618,7218054,7531129,647000,5725936,1721546,6840322,579,313654
23,198,372787,25,235782,17,133225,8,102557,15,0,15,2,16654272,527,93509,131874,0,0,93509,131874,1351,39716
24,563,1605857,126,1441403,121,1408838,5,32565,121,7,114,0,16654272,671,1408838,1408838,3324,177519,1231319,1405514,0,0
25,574,1193436,92,1009526,88,983281,4,26245,88,22,66,0,16654272,650,983281,983281,60487,447784,535497,922794,0,0
26,1370,3534875,283,3254513,264,3058594,19,195919,259,34,225,5,16654272,516,2912431,3056689,53888,789818,2168378,2988490,1905,146163
27,515,1724914,126,1536397,71,807655,55,728742,71,11,60,0,16654272,119,807655,807655,13462,252575,555080,794193,0,0
28,898,2879833,241,2694332,218,2497161,23,197171,217,19,198,1,16654272,623,2464372,2496876,30922,452473,2024604,2463862,285,32789
29,823,1462417,94,1207215,85,1076514,9,130701,85,11,74,0,16654272,622,1076514,1076514,27616,258364,818150,1048898,0,0
