pack_id,admission_checkpoint,selected_records_count,pack_bytes,status,snapshot,provenance,limitation
1,0,12,867,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
2,1,107,59947,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
3,1,106,59405,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
4,1,60,54901,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
5,1,82,47543,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
6,1,69,43350,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
7,1,61,63495,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
8,1,66,51615,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
9,1,98,46936,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
10,1,119,46258,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
11,1,217,68268,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
12,1,353,41880,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
13,2,85,24784,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
14,2,54,16257,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
15,2,70,24848,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
16,2,42,70420,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
17,2,83,51867,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
18,2,85,63197,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
19,2,50,55553,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
20,2,39,81000,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
21,2,225,42529,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
22,3,62,31113,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
23,3,40,22088,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
24,3,51,11429,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
25,3,45,26493,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
26,3,57,59584,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
27,3,55,67957,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
28,3,58,63545,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
29,3,97,18975,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
30,3,135,63909,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
31,3,191,38682,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
32,4,66,45920,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
33,4,76,23016,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
34,4,63,24453,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
35,4,58,54089,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
36,4,60,59626,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
37,4,85,52680,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
38,4,62,57152,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
39,4,43,62358,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
40,4,70,54463,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
41,4,52,54722,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
42,4,66,54963,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
43,4,66,65885,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
44,4,68,53554,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
45,4,304,54392,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
46,4,372,51009,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
47,5,68,46558,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
48,5,120,13319,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
49,5,59,53675,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
50,5,72,63137,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
51,5,78,55894,derived,historical acknowledgement checkpoint,retained-prefix equals selected-prefix at every acknowledgement; immutable selected locators; atomic pack insertion; all records selected,No within-checkpoint sequence inferred; not derived from pack-ID order alone
