checkpoint,samepath_regular_tail_growth_payload_bytes,growing_file_occurrences_count,predecessor_present_nohint_count,predecessor_present_nohint_lower_canonical_bytes,predecessor_present_nohint_upper_canonical_bytes,completed_nooverlap_upper_canonical_bytes,not_completed_nooverlap_lower_canonical_bytes
1,0,0,0,0,0,0,0
2,134731,95,45,74335,694075,135676,0
3,104965,90,46,58410,680940,105931,0
4,55867,53,3,769,73238,55930,0
5,141478,173,132,301925,1455038,144250,157675
6,25424,26,1,2516,14637,14637,0
7,114234,75,32,17092,627731,114906,0
8,175878,143,137,409820,2111770,178755,231065
9,74265,78,88,406977,1083591,76113,330864
10,88578,157,164,1050482,1252029,92022,958460
11,272247,192,229,1578845,2748041,277056,1301789
12,14071,32,0,0,0,0,0
13,337436,156,159,615253,2455219,340775,274478
14,78488,61,43,320180,509543,79391,240789
15,775532,282,254,878517,3590570,780866,97651
16,177590,136,108,477447,1032434,179858,297589
17,71701,125,677,4128442,5964111,85918,4042524
18,42465,88,139,553238,1394566,45384,507854
19,65454,104,99,592106,1023464,67533,524573
20,595305,247,9,101318,116592,116592,0
21,679855,287,30,180433,406924,406924,0
22,510837,478,528,1721546,6840322,521925,1199621
23,167644,88,15,93509,131874,131874,0
24,850556,472,114,1231319,1405514,852950,378369
25,190215,191,66,535497,922794,191601,343896
26,551284,491,225,2168378,2988490,556009,1612369
27,63587,78,60,555080,794193,64847,490233
28,446542,172,198,2024604,2463862,450700,1573904
29,506487,464,74,818150,1048898,508041,310109
30,136252,85,72,169476,824366,137764,31712
31,223487,106,13,178077,230306,223760,0
32,664335,451,429,1160519,5296691,673344,487175
33,181196,295,361,1729472,3897622,188777,1540695
34,87811,139,56,119011,1007976,88987,30024
35,421378,437,232,1491510,2761300,426250,1065260
36,59258,66,56,108809,542051,60434,48375
37,65503,77,121,1259905,1587459,68044,1191861
38,661364,266,41,467582,699714,662225,0
39,338664,236,112,436966,2076659,341016,95950
40,1101050,718,293,278202,3011012,1107203,0
41,627321,427,538,1093420,7106779,638619,454801
42,33326,66,140,1433250,1867394,36266,1396984
43,368452,188,264,2814417,3338555,373996,2440421
44,615706,628,174,1666480,2636073,619360,1047120
45,623351,441,383,1557643,4240232,631394,926249
46,710122,334,290,2430181,3535438,716212,1713969
47,167737,240,250,1149785,2498445,172987,976798
48,55030,183,126,57872,1453315,57676,196
49,144243,162,205,2343503,2569237,148548,2194955
50,224551,372,506,1203448,5083898,235177,968271
51,299018,237,273,1112730,2489205,304751,807979
52,189944,347,361,221927,3605332,197525,24402
53,108050,51,47,199329,596479,109037,90292
54,224636,145,67,539926,695526,226043,313883
55,450158,584,461,787593,5080932,459839,327754
56,871299,162,85,477395,897192,873084,0
57,849564,375,361,3466442,4271271,857145,2609297
58,1003095,842,472,2040085,6081880,1013007,1027078
59,138071,199,41,493201,493201,138932,354269
60,413183,492,430,1112943,4731943,422213,690730
61,110366,207,232,1191498,1773410,115238,1076260
62,144257,318,386,4262432,4501631,152363,4110069
63,270984,389,316,1792181,3268033,277620,1514561
64,65106,116,80,228557,825880,66786,161771
65,365680,568,7,41311,41311,41311,0
66,241699,251,119,771720,1334718,244198,527522
67,1250992,1123,408,1297720,4349015,1259560,38160
68,329971,568,692,2315910,4433901,344503,1971407
69,29283,132,48,521940,521940,30291,491649
70,740652,848,258,1038343,3404705,746070,292273
71,87014,157,231,1039892,1623614,91865,948027
72,36204,115,24,32832,401055,36708,0
73,1165961,1248,312,1085634,3677587,1172513,0
74,86358,167,100,345460,1231311,88458,257002
75,1118424,1181,501,2384633,5111977,1128945,1255688
76,96769,150,48,385158,482814,97777,287381
77,1218335,1312,75,749300,1112172,1112172,0
78,146385,148,42,189344,535441,147267,42077
79,21390,22,6,29050,104505,21516,7534
80,909166,773,690,3411675,6681724,923656,2488019
81,186498,266,310,1700606,4067593,193008,1507598
82,82016,114,149,1376649,1760465,85145,1291504
83,672808,659,134,1106064,1491879,675622,430442
84,645701,618,400,1646930,4265079,654101,992829
85,367741,348,413,2574024,4850631,376414,2197610
86,160761,153,155,904180,1476979,164016,740164
87,34540,101,44,381602,381602,35464,346138
88,2103296,1182,266,912220,3140725,2108882,0
89,5926,43,32,48364,456479,6598,41766
90,654292,519,232,619259,2333601,659164,0
91,209360,549,925,6271841,8257835,228785,6043056
92,628451,824,1838,7486699,10064023,667049,6819650
93,34278,28,0,0,0,0,0
94,207854,636,69,270239,650828,209303,60936
95,767808,267,37,323000,391557,391557,0
96,2790363,1625,61,353852,922180,922180,0
97,1782271,1430,1186,6071064,13208118,1807177,4263887
98,15415,25,21,27904,224515,15856,12048
99,25052,108,163,2112729,2145071,28475,2084254
100,921843,741,798,2585496,8421498,938601,1646895
101,310306,347,521,2362842,4871711,321247,2041595
102,86242,69,81,224307,911194,87943,136364
103,130244,479,1483,4133439,9766217,161387,3972052
104,166137,875,1900,13255231,15224944,206037,13049194
105,39101,68,30,264176,330143,39731,224445
106,185286,498,79,121785,1333924,186945,0
107,985435,785,221,1434124,2544529,990076,444048
108,82509,179,142,742067,1613432,85491,656576
109,345101,585,173,1110567,2035317,348734,761833
110,3519641,2037,381,1309520,6020229,3527642,0
111,148105,436,727,5076488,6173236,163372,4913116
112,191376,1544,1734,10464967,12344429,227790,10237177
113,13648,22,44,366189,507361,14572,351617
114,270782,531,600,2618557,4946911,283382,2335175
115,206742,200,313,1764475,3547620,213315,1551160
116,200609,360,1072,6232533,8538578,223121,6009412
117,203474,654,462,3497668,4728080,213176,3284492
118,1433345,2138,376,1642856,4688233,1441241,201615
119,116350,180,164,1483748,1793596,119794,1363954
120,382200,596,601,2606339,5252325,394821,2211518
121,5521,4,0,0,0,0,0
122,522620,1549,3076,9819078,27121705,587216,9231862
123,118145,163,459,1889625,3129666,127784,1761841
124,185153,153,161,777054,1676807,188534,588520
125,123190,190,511,2093821,3590327,133921,1959900
126,99892,133,167,938854,1455140,103399,835455
127,363921,260,304,1555051,3210554,370305,1184746
128,209042,138,135,951293,1391486,211877,739416
129,115407,377,556,3805115,4695417,127083,3678032
130,1485853,975,668,1771353,5986934,1499881,271472
131,283156,1032,1903,8995845,10690301,323119,8672726
132,240069,175,644,2084584,5390744,253593,1830991
133,598815,557,1257,6249561,10670044,625212,5624349
134,514053,515,849,3264366,8888820,531882,2732484
135,431065,451,726,5246930,7737964,446311,4800619
136,831003,780,69,538045,723928,723928,0
137,39486,24,5,2742,50302,39591,0
138,1471390,1268,1007,2439170,12558802,1492537,946633
139,1890855,933,1510,9105739,11483106,1922565,7183174
140,154454,378,515,3933116,5864224,165269,3767847
141,231236,361,582,3768312,5354798,243458,3524854
142,384828,302,384,1008938,4660725,392892,616046
143,118461,333,414,4062705,4270208,127155,3935550
144,342162,605,1084,5478237,8499484,364926,5113311
