arm,depth,checkpoint,operation,repetition,path_hex,file_length_bytes,offset_bytes,requested_bytes,expected_sha256,row_index,status,errors,null_reason,setup_wrapper_ns,cleanup_wrapper_ns,invocation_wall_ns,container_staging_allocated_bytes,final_scoped_runtime_allocated_bytes,setup_native_record_fetches,setup_native_decode_calls,setup_host_ns,end_host_ns,session_fuse_read_requests_count,session_fuse_read_bytes,session_fuse_write_requests,session_fuse_write_bytes,read_elapsed_ns,read_acknowledgement_window_ns,read_host_cpu_ns,read_host_rss_bytes,read_host_lifetime_peak_rss_bytes,read_host_footprint_bytes,read_host_disk_read_bytes,read_host_disk_write_bytes,read_public_exec_count,read_workspace_output_reader_count,read_output_read_count,read_shell_process_count,read_dd_process_count,read_sink_process_count,read_free_disk_bytes,read_scoped_runtime_allocated_bytes,read_owned_output_allocated_bytes,read_group_fetches,read_blob_ranges,read_encoded_read_bytes,read_decoded_read_bytes,read_decompression_calls,read_base_fetches,read_native_record_fetches,read_native_request_bytes,read_native_parser_bytes,read_native_raw_decoded_bytes,read_native_decode_calls,read_native_decode_ns,read_native_dependency_edges,read_native_depth_0,read_native_depth_1,read_native_depth_2,read_native_depth_3,read_native_depth_4,read_fuse_read_requests,read_fuse_read_bytes,read_fuse_write_requests,read_fuse_write_bytes,read_host_runtime_disk_allocated_bytes,read_host_runtime_disk_apparent_bytes,read_copy_disk_allocated_bytes,read_copy_disk_apparent_bytes,read_cgroup_boundary_cpu_ns,read_cgroup_boundary_user_cpu_ns,read_cgroup_boundary_system_cpu_ns,read_cgroup_observer_ns,read_container_current_bytes,read_container_lifetime_peak_bytes,read_container_swap_current_bytes,read_container_before_anon_bytes,read_container_before_file_bytes,read_container_before_kernel_bytes,read_container_before_shmem_bytes,read_container_before_slab_bytes,read_container_before_file_dirty_bytes,read_container_before_file_writeback_bytes,read_container_after_anon_bytes,read_container_after_file_bytes,read_container_after_kernel_bytes,read_container_after_shmem_bytes,read_container_after_slab_bytes,read_container_after_file_dirty_bytes,read_container_after_file_writeback_bytes,read_container_io_bytes,digest_elapsed_ns,digest_acknowledgement_window_ns,digest_host_cpu_ns,digest_host_rss_bytes,digest_host_lifetime_peak_rss_bytes,digest_host_footprint_bytes,digest_host_disk_read_bytes,digest_host_disk_write_bytes,digest_public_exec_count,digest_workspace_output_reader_count,digest_output_read_count,digest_shell_process_count,digest_dd_process_count,digest_sink_process_count,digest_free_disk_bytes,digest_scoped_runtime_allocated_bytes,digest_owned_output_allocated_bytes,digest_group_fetches,digest_blob_ranges,digest_encoded_read_bytes,digest_decoded_read_bytes,digest_decompression_calls,digest_base_fetches,digest_native_record_fetches,digest_native_request_bytes,digest_native_parser_bytes,digest_native_raw_decoded_bytes,digest_native_decode_calls,digest_native_decode_ns,digest_native_dependency_edges,digest_native_depth_0,digest_native_depth_1,digest_native_depth_2,digest_native_depth_3,digest_native_depth_4,digest_fuse_read_requests,digest_fuse_read_bytes,digest_fuse_write_requests,digest_fuse_write_bytes,digest_host_runtime_disk_allocated_bytes,digest_host_runtime_disk_apparent_bytes,digest_copy_disk_allocated_bytes,digest_copy_disk_apparent_bytes,digest_cgroup_boundary_cpu_ns,digest_cgroup_boundary_user_cpu_ns,digest_cgroup_boundary_system_cpu_ns,digest_cgroup_observer_ns,digest_container_current_bytes,digest_container_lifetime_peak_bytes,digest_container_swap_current_bytes,digest_container_before_anon_bytes,digest_container_before_file_bytes,digest_container_before_kernel_bytes,digest_container_before_shmem_bytes,digest_container_before_slab_bytes,digest_container_before_file_dirty_bytes,digest_container_before_file_writeback_bytes,digest_container_after_anon_bytes,digest_container_after_file_bytes,digest_container_after_kernel_bytes,digest_container_after_shmem_bytes,digest_container_after_slab_bytes,digest_container_after_file_dirty_bytes,digest_container_after_file_writeback_bytes,digest_container_io_bytes
control,0,1,range,1,4147454e54532e6d64,17819,0,4096,8440e09130e2ce04e3f7196189f69d495ac6f6d33edb1d781a5b966420d6485b,1,PASS,[],null,15583146667,460592500,16643532958,0,205529088,0,0,824764292,5798000,1,16384,null,null,7985292,151004292,3781125,41566208,41566208,4620744,0,4096,1,1,2,1,1,1,442578673664,205537280,436015104,66,198,510052,1107108,65,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,8192,140,205524992,205524992,23053000,12009000,11043000,288891792,13217792,14544896,0,856064,10108928,1433600,0,916120,12288,0,1015808,10215424,1458176,0,920696,12288,0,null,4093500,153106708,832709,41566208,41582592,4620744,0,4096,1,1,2,1,1,1,442578501632,205541376,436023296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,12288,221,205524992,205524992,22917000,15177000,7740000,288633792,13697024,15073280,0,1019904,10215424,1445888,0,918272,12288,0,1019904,10215424,1449984,0,923080,12288,0,null
candidate,0,1,range,1,4147454e54532e6d64,17819,0,4096,8440e09130e2ce04e3f7196189f69d495ac6f6d33edb1d781a5b966420d6485b,2,PASS,[],null,2516454333,506502084,3916830375,0,181719040,0,0,1275691083,8310959,1,16384,null,null,10772625,215090167,4963458,41533440,41533440,4555208,0,4096,1,1,2,1,1,1,442578169856,181727232,436047872,66,234,291310,495711,47,0,18,21573,20997,41501,18,200210,0,18,0,0,0,0,null,null,null,null,8192,140,181710848,181710848,29754000,15598000,14155000,463603708,3190784,5922816,0,860160,4096,1142784,0,621480,4096,0,1015808,20480,1146880,0,626488,4096,0,null,3831708,206977416,876584,41598976,41598976,4620744,0,4096,1,1,2,1,1,1,442578149376,181731328,436056064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,12288,221,181710848,181710848,23464000,16142000,7323000,401273751,3403776,5922816,0,1015808,20480,1142784,0,626096,4096,0,1019904,20480,1155072,0,628760,4096,0,null
candidate,0,1,range,2,4147454e54532e6d64,17819,0,4096,8440e09130e2ce04e3f7196189f69d495ac6f6d33edb1d781a5b966420d6485b,3,PASS,[],null,1742836375,510302125,3205769459,0,181723136,0,0,1144389708,7980542,1,16384,null,null,8597792,213268375,4297833,41566208,41582592,4571568,0,4096,1,1,2,1,1,1,442577891328,181731328,436080640,66,234,291310,495711,47,0,18,21573,20997,41501,18,136166,0,18,0,0,0,0,null,null,null,null,8192,140,181710848,181710848,25823000,20777000,5045000,407416208,3284992,5324800,0,864256,4096,1146880,0,623408,4096,0,1019904,20480,1159168,0,628480,4096,0,null,4907375,269839750,1354418,41598976,41598976,4604336,0,4096,1,1,2,1,1,1,442577883136,181735424,436088832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,12288,221,181710848,181710848,26759000,16062000,10697000,517226834,3469312,5324800,0,1024000,20480,1155072,0,629712,4096,0,1019904,20480,1150976,0,631808,4096,0,null
control,0,1,range,2,4147454e54532e6d64,17819,0,4096,8440e09130e2ce04e3f7196189f69d495ac6f6d33edb1d781a5b966420d6485b,4,PASS,[],null,1527084000,459185750,2942441209,0,205541376,0,0,868268667,8042750,1,16384,null,null,10164750,268027500,5031874,41238528,41254912,4293064,0,4096,1,1,2,1,1,1,442577870848,205549568,436113408,66,198,510052,1107108,65,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,8192,140,205524992,205524992,27089000,18053000,9036000,524386417,3211264,5595136,0,868352,4096,1142784,0,621976,4096,0,1028096,20480,1150976,0,630576,4096,0,null,4522167,259012792,1113958,41271296,41271296,4325832,0,4096,1,1,2,1,1,1,442577764352,205553664,436121600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,12288,221,205524992,205524992,24877000,14173000,10704000,401597584,3407872,5595136,0,1024000,20480,1155072,0,631120,4096,0,1028096,20480,1146880,0,629224,4096,0,null
control,0,1,range,3,4147454e54532e6d64,17819,0,4096,8440e09130e2ce04e3f7196189f69d495ac6f6d33edb1d781a5b966420d6485b,5,PASS,[],null,1401983542,508539625,2590390500,0,205545472,0,0,792481292,5730417,1,16384,null,null,8110750,207880375,3996251,41320448,41320448,4374984,0,4096,1,1,2,1,1,1,442575970304,205553664,436146176,66,198,510052,1107108,65,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,8192,140,205524992,205524992,23290000,15536000,7753000,351600249,2854912,5939200,0,864256,4096,1150976,0,630840,4096,0,1024000,20480,1167360,0,627952,4096,0,null,4583208,154158500,884667,41369600,41369600,4424136,0,4096,1,1,2,1,1,1,442575806464,205557760,436154368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,12288,221,205524992,205524992,23395000,12524000,10870000,303422250,3489792,5939200,0,1019904,20480,1167360,0,628136,4096,0,1024000,20480,1163264,0,628032,4096,0,null
candidate,0,1,range,3,4147454e54532e6d64,17819,0,4096,8440e09130e2ce04e3f7196189f69d495ac6f6d33edb1d781a5b966420d6485b,6,PASS,[],null,1802036417,517038042,3321986000,0,181735424,0,0,1183991875,8209334,1,16384,null,null,8531833,261782250,4023250,41582592,41615360,4587952,0,4096,1,1,2,1,1,1,442574594048,181743616,436178944,66,234,291310,495711,47,0,18,21573,20997,41501,18,143084,0,18,0,0,0,0,null,null,null,null,8192,140,181710848,181710848,26389000,14168000,12220000,459066001,3465216,5091328,0,860160,4096,1146880,0,622728,4096,0,1019904,20480,1150976,0,625960,4096,0,null,5574250,264775250,1340792,41648128,41648128,4653488,0,4096,1,1,2,1,1,1,442574565376,181747712,436187136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,12288,221,181710848,181710848,25379000,16150000,9229000,513195584,2904064,5091328,0,1019904,20480,1146880,0,622912,4096,0,1024000,20480,1155072,0,629424,4096,0,null
control,0,1,full,1,4147454e54532e6d64,17819,0,17819,fbfb9310604c3623fb43e1e89f656658854f12b56653e5efd370c9e28ae5a348,7,PASS,[],null,1481201250,512690625,2998763667,0,205553664,0,0,872439667,7431709,1,20480,null,null,9771250,264830084,4704666,41287680,41287680,4342216,0,4096,1,1,2,1,1,1,442574209024,205561856,436211712,66,198,510052,1107108,65,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,8192,141,205524992,205524992,26840000,17252000,9587000,509542583,2899968,5414912,0,856064,4096,1142784,0,624376,4096,0,1024000,24576,1159168,0,627608,4096,0,null,4946250,213250833,1166542,41336832,41336832,4391368,0,4096,1,1,2,1,1,1,442574180352,205565952,436219904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,12288,222,205524992,205524992,26832000,16256000,10576000,464046666,3072000,5414912,0,1019904,24576,1150976,0,630656,4096,0,1024000,24576,1155072,0,631280,4096,0,null
candidate,0,1,full,1,4147454e54532e6d64,17819,0,17819,fbfb9310604c3623fb43e1e89f656658854f12b56653e5efd370c9e28ae5a348,8,PASS,[],null,1815585875,455618791,3002016875,0,181743616,0,0,1217833375,6639292,1,20480,null,null,8884000,158454875,3545458,41402368,41402368,4424136,0,4096,1,1,2,1,1,1,442577068032,181751808,436244480,66,234,291310,495711,47,0,18,21573,20997,41501,18,143790,0,18,0,0,0,0,null,null,null,null,8192,141,181710848,181710848,25195000,14233000,10962000,407256625,2932736,5918720,0,864256,4096,1138688,0,624632,4096,0,1028096,24576,1142784,0,629552,4096,0,null,3777917,154047041,841125,41418752,41435136,4440520,0,4096,1,1,2,1,1,1,442576027648,181755904,436252672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,12288,222,181710848,181710848,23337000,14152000,9185000,296477709,3264512,5918720,0,1024000,24576,1142784,0,630792,4096,0,1024000,24576,1150976,0,632816,4096,0,null
candidate,0,1,full,2,4147454e54532e6d64,17819,0,17819,fbfb9310604c3623fb43e1e89f656658854f12b56653e5efd370c9e28ae5a348,9,PASS,[],null,1897138500,511226792,3401268250,0,181747712,0,0,1236033042,8255667,1,20480,null,null,9073042,257666833,4247792,41500672,41500672,4506032,0,4096,1,1,2,1,1,1,442576039936,181755904,436277248,66,234,291310,495711,47,0,18,21573,20997,41501,18,138331,0,18,0,0,0,0,null,null,null,null,8192,141,181710848,181710848,27474000,16510000,10964000,504277791,3178496,5668864,0,856064,4096,1150976,0,618904,4096,0,1024000,24576,1150976,0,626704,4096,0,null,3846375,264004958,989041,41517056,41533440,4522416,0,4096,1,1,2,1,1,1,442576007168,181760000,436285440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,12288,222,181710848,181710848,24311000,16457000,7853000,456940292,3268608,5668864,0,1024000,24576,1142784,0,630960,4096,0,1024000,24576,1142784,0,624216,4096,0,null
control,0,1,full,2,4147454e54532e6d64,17819,0,17819,fbfb9310604c3623fb43e1e89f656658854f12b56653e5efd370c9e28ae5a348,10,PASS,[],null,1656448000,557702083,3281319709,0,205565952,0,0,980467833,8018458,1,20480,null,null,10083083,265445583,5046292,41402368,41402368,4456904,0,4096,1,1,2,1,1,1,442575736832,205574144,436310016,66,198,510052,1107108,65,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,8192,141,205524992,205524992,27723000,15809000,11915000,517279749,3293184,4988928,0,864256,4096,1150976,0,623224,4096,0,1024000,24576,1163264,0,630648,4096,0,null,5528083,262214167,1258834,41451520,41451520,4506056,0,4096,1,1,2,1,1,1,442575720448,205578240,436318208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,12288,222,205524992,205524992,26259000,11930000,14330000,515241208,3567616,4988928,0,1024000,24576,1159168,0,626760,4096,0,1028096,24576,1150976,0,629648,4096,0,null
