retention_scope,role,kind,objects_or_records_count,canonical_bytes,decoded_record_bytes,population,snapshot,provenance,status
logical_retained,FileState,FULL,75927,8048262,8124189,selected L/base-only/outside-R objects; unselected physical records separately,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-proof-1/inventory-proof.json#logical_retained/required_objects/records,derived
logical_retained,directory_map_branch,FULL,406,160456,160862,selected L/base-only/outside-R objects; unselected physical records separately,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-proof-1/inventory-proof.json#logical_retained/required_objects/records,derived
logical_retained,directory_map_leaf,FULL,14023,11240607,11254630,selected L/base-only/outside-R objects; unselected physical records separately,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-proof-1/inventory-proof.json#logical_retained/required_objects/records,derived
logical_retained,directory_state,FULL,13647,1337406,1351053,selected L/base-only/outside-R objects; unselected physical records separately,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-proof-1/inventory-proof.json#logical_retained/required_objects/records,derived
logical_retained,extent_leaf,FULL,75927,7337108,7413035,selected L/base-only/outside-R objects; unselected physical records separately,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-proof-1/inventory-proof.json#logical_retained/required_objects/records,derived
logical_retained,inode_record,FULL,89576,8778448,8868024,selected L/base-only/outside-R objects; unselected physical records separately,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-proof-1/inventory-proof.json#logical_retained/required_objects/records,derived
logical_retained,inode_table_branch,FULL,163,658372,658535,selected L/base-only/outside-R objects; unselected physical records separately,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-proof-1/inventory-proof.json#logical_retained/required_objects/records,derived
logical_retained,inode_table_leaf,DELTA,4583,26706676,5438083,selected L/base-only/outside-R objects; unselected physical records separately,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-proof-1/inventory-proof.json#logical_retained/required_objects/records,derived
logical_retained,inode_table_leaf,FULL,5309,30084092,30089401,selected L/base-only/outside-R objects; unselected physical records separately,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-proof-1/inventory-proof.json#logical_retained/required_objects/records,derived
logical_retained,metadata_map_leaf,FULL,4,572,576,selected L/base-only/outside-R objects; unselected physical records separately,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-proof-1/inventory-proof.json#logical_retained/required_objects/records,derived
logical_retained,namespace_root,FULL,158,19118,19276,selected L/base-only/outside-R objects; unselected physical records separately,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-proof-1/inventory-proof.json#logical_retained/required_objects/records,derived
