checkpoint,snapshot,provenance,source_sha,source_tree,source_oracle_sha256,source_manifest_sha256,previous_layerfs_mapping,resulting_layerfs_mapping,created,source_identity_null_reason,diag_invalid,diag_cursor_attached,diag_cursor_queries,diag_cursor_inherited,diag_cursor_memory_limit,diag_cursor_file_limit,diag_cursor_operation_limit,diag_cursor_descriptor_limit,diag_cursor_grants,diag_cursor_query_bytes,diag_selected_pack_count,diag_selected_pack_last_id,diag_selected_pack_bytes,diag_selected_pack_groups,diag_selected_pack_records,diag_selected_unlocated_records,diag_occurrence_preexisting_grants,diag_occurrence_missing_grants,diag_occurrence_duplicate_grants,diag_file_source_without_chunk,diag_eligible_count,diag_eligible_bytes,diag_new_full_count,diag_new_full_bytes,diag_new_delta_count,diag_new_delta_bytes,diag_race_count,diag_race_bytes,diag_nonfile_chunk_count,diag_nonfile_chunk_bytes,diag_no_predecessor_count,diag_no_predecessor_bytes,diag_missing_span_count,diag_missing_span_bytes,diag_complete_empty_count,diag_complete_empty_bytes,diag_limited_empty_count,diag_limited_empty_bytes,diag_complete_hints_count,diag_complete_hints_bytes,diag_limited_hints_count,diag_limited_hints_bytes,diag_occurrence_preexisting_count,diag_occurrence_preexisting_bytes,diag_occurrence_missing_count,diag_occurrence_missing_bytes,diag_occurrence_duplicate_count,diag_occurrence_duplicate_bytes,diag_terminal_no_predecessor_count,diag_terminal_no_predecessor_bytes,diag_terminal_missing_span_count,diag_terminal_missing_span_bytes,diag_terminal_no_overlap_count,diag_terminal_no_overlap_bytes,diag_terminal_correspondence_limit_count,diag_terminal_correspondence_limit_bytes,diag_terminal_base_count,diag_terminal_base_bytes,diag_terminal_budget_count,diag_terminal_budget_bytes,diag_terminal_no_delta_count,diag_terminal_no_delta_bytes,diag_terminal_mixed_rejection_count,diag_terminal_mixed_rejection_bytes,diag_terminal_delta_count,diag_terminal_delta_bytes,diag_terminal_unknown_count,diag_terminal_unknown_bytes,diag_size_lt64_count,diag_size_lt64_bytes,diag_size_lt256_count,diag_size_lt256_bytes,diag_size_lt1024_count,diag_size_lt1024_bytes,diag_size_lt4096_count,diag_size_lt4096_bytes,diag_size_lt16384_count,diag_size_lt16384_bytes,diag_size_lt65536_count,diag_size_lt65536_bytes,diag_size_ge65536_count,diag_size_ge65536_bytes,diag_hints_0_count,diag_hints_0_bytes,diag_hints_1_count,diag_hints_1_bytes,diag_hints_2_count,diag_hints_2_bytes,diag_hints_3_count,diag_hints_3_bytes,diag_hints_4_count,diag_hints_4_bytes,diag_limit_memory_first_count,diag_limit_memory_first_bytes,diag_limit_memory_first_empty_count,diag_limit_memory_first_empty_bytes,diag_limit_memory_inherited_count,diag_limit_memory_inherited_bytes,diag_limit_memory_inherited_empty_count,diag_limit_memory_inherited_empty_bytes,diag_limit_file_first_count,diag_limit_file_first_bytes,diag_limit_file_first_empty_count,diag_limit_file_first_empty_bytes,diag_limit_file_inherited_count,diag_limit_file_inherited_bytes,diag_limit_file_inherited_empty_count,diag_limit_file_inherited_empty_bytes,diag_limit_operation_first_count,diag_limit_operation_first_bytes,diag_limit_operation_first_empty_count,diag_limit_operation_first_empty_bytes,diag_limit_operation_inherited_count,diag_limit_operation_inherited_bytes,diag_limit_operation_inherited_empty_count,diag_limit_operation_inherited_empty_bytes,diag_limit_descriptor_first_count,diag_limit_descriptor_first_bytes,diag_limit_descriptor_first_empty_count,diag_limit_descriptor_first_empty_bytes,diag_limit_descriptor_inherited_count,diag_limit_descriptor_inherited_bytes,diag_limit_descriptor_inherited_empty_count,diag_limit_descriptor_inherited_empty_bytes,diag_event_fetch_budget_count,diag_event_fetch_budget_bytes,diag_event_match_budget_count,diag_event_match_budget_bytes,diag_event_instruction_budget_count,diag_event_instruction_budget_bytes,diag_event_memory_budget_count,diag_event_memory_budget_bytes,diag_event_base,diag_event_base_bytes,diag_event_budget,diag_event_budget_bytes,diag_event_candidate,diag_event_candidate_bytes,diag_event_mixed_rejection,diag_event_mixed_rejection_bytes,native_record_fetches,native_request_bytes,native_parser_bytes,native_raw_decoded_bytes,native_decode_calls,native_decode_ns,native_dependency_edges,native_depth_0,native_depth_1,native_depth_2,native_depth_3,native_depth_4,native_full_encode_calls,native_full_encode_ns,native_full_frame_count,native_full_frame_bytes,native_prefix_encode_calls,native_prefix_encode_ns,native_prefix_frame_count,native_prefix_frame_bytes,native_fallback_no_hint_count,native_fallback_no_hint_bytes,native_fallback_unavailable_count,native_fallback_unavailable_bytes,native_fallback_legacy_delta_count,native_fallback_legacy_delta_bytes,native_fallback_role_count,native_fallback_role_bytes,native_fallback_depth_count,native_fallback_depth_bytes,native_fallback_budget_count,native_fallback_budget_bytes,native_fallback_full_wins_count,native_fallback_full_wins_bytes,native_admitted_full_count,native_admitted_full_bytes,native_admitted_prefix_count,native_admitted_prefix_bytes,canonical_bytes,canonical_objects,database_allocated_bytes,database_logical_bytes,freelist_page_count,page_count,page_size_bytes,sidecar_allocated_bytes,sidecar_logical_bytes,store_allocated_bytes,store_apparent_bytes,init_elapsed_ns,fork_elapsed_ns,mount_elapsed_ns,ack_objects,ack_canonical_bytes,retained_objects,retained_canonical_bytes,new_ack_objects,new_ack_canonical_bytes,pack_first_id,pack_last_id,derived_selected_file_count,derived_selected_file_bytes,derived_selected_file_delta_count,derived_selected_file_delta_bytes,status,unique_eligible_count,unique_eligible_bytes,errors,exec_elapsed_ns,commit_elapsed_ns
0,acknowledgement before verifier,performance-result.json#ready,null,null,null,null,null,320e22578c1c65b0b7de871ad5ce4390cdf5dcc6afa0c234d379e968a061bd42fc,null,Init has no source checkpoint or prior mapping,0,0,0,0,0,0,0,0,0,0,1,1,867,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050,12,69632,69632,0,17,4096,0,0,69632,69632,1775792,82875,14072834,12,1050,12,1050,12,1050,1,1,0,0,0,0,PASS,0,0,[],,
1,acknowledgement before verifier,performance-result.json#records/0,ca4e1c3a1c61129bd95ee57dd744bc53c2e635bb,a1b6dc6ff544ac011c47e5dc4c1f4bb2b399c108,9ff51404fe3ea33de4b70d33c2f3241780ab866768d59b15c183b5211c327f02,cf2213377cb9f62a7244f55ec80133935d1fcefed4e5e86bd1c7341a33309a47,320e22578c1c65b0b7de871ad5ce4390cdf5dcc6afa0c234d379e968a061bd42fc,12ef1680ba4c484382998617ba5362bf28b1644b191cd50caec4c4c05bf3d63d23,True,null,0,0,0,0,0,0,0,0,0,0,21,22,613033,26,1338,0,0,0,0,0,283,1495276,283,1495276,0,0,0,0,3,83,283,1495276,0,0,0,0,0,0,0,0,0,0,0,0,283,1495276,12,9984,283,1495276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46,5,777,64,38522,102,249640,84,662631,27,543660,0,0,283,1495276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,852,820,1071,1,56375,0,1,0,0,0,0,283,12141717,283,529059,0,0,0,0,283,1495276,0,0,0,0,0,0,0,0,0,0,0,0,283,1495276,0,0,1633857,1350,770048,770048,0,188,4096,0,0,770048,770048,,,,1350,1633857,1350,1633857,1338,1632807,2,22,283,1495276,0,0,PASS,283,1495276,[],149727833,39726583
2,acknowledgement before verifier,performance-result.json#records/1,a009b1e995d38a2149d84067bbf461f8be0e3456,011e99a519bfdf201221b0a5db8ffe926dca6afe,c53eabfbcfe2323a5f4f6a6b9490a48aeb52975c8a427ed83d8a4e7ae415347c,1f9a566d82b0a2e4865a06c7d705a422b89ed9476de1a67240f88e197d7ded58,12ef1680ba4c484382998617ba5362bf28b1644b191cd50caec4c4c05bf3d63d23,12b9f2656f1ec39023afad1bc2d5b269460bf741b998b6df777531a93b50c3eed1,True,null,0,97,115,0,0,0,0,0,194,832680,18,40,338450,23,733,0,2,192,0,0,189,1356519,82,580649,107,775870,0,0,0,0,79,565972,0,0,3,14677,0,0,107,775870,0,0,5,42133,189,1356519,0,0,79,565972,0,0,3,14677,0,0,0,0,0,0,0,0,0,0,107,775870,0,0,0,0,2,433,20,15554,67,166681,69,560275,31,613576,0,0,82,580649,95,557587,12,218283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,775870,0,0,107,775870,0,0,254,421547,413419,1000141,254,2363244,0,254,0,0,0,0,189,8576169,189,494792,107,2983039,107,63138,82,580649,0,0,0,0,0,0,0,0,0,0,0,0,82,580649,107,775870,3075624,2083,2146304,1150976,0,281,4096,0,0,2146304,1150976,,,,2083,3075624,2083,3075624,733,1441767,23,40,189,1356519,107,775870,PASS,189,1356519,[],146667042,37022291
3,acknowledgement before verifier,performance-result.json#records/2,bcf255fc57cb3b6cfca3cd4b1df79ee33815f1bd,92f8aac2050f81f57ca202bcd5ec92f4b197a31e,a442f7d91c82bf6ab0196133399248c1322aaac6fff73628f9221bd6ddfb9256,94b14d1e4a4d029eecce598e3efdfbb27e74a338737ce68ea7a8a0e6becda845,12b9f2656f1ec39023afad1bc2d5b269460bf741b998b6df777531a93b50c3eed1,12054974955f4ec82833c1abc8fb1d3fce2572faa7a8c329c8af9898b8b0419c16,True,null,0,102,131,0,0,0,0,0,204,1246599,19,59,259547,24,791,0,0,204,0,0,186,1513393,69,435612,117,1077781,0,0,0,0,68,435390,0,0,1,222,0,0,117,1077781,0,0,14,168911,186,1513393,3,330,68,435390,0,0,1,222,0,0,0,0,0,0,0,0,0,0,117,1077781,0,0,2,73,11,1999,14,9409,38,98983,90,819221,31,583708,0,0,69,435612,97,771038,20,306743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,1077781,0,0,117,1077781,0,0,385,704129,691809,2522518,385,4118745,130,125,130,0,0,0,186,8739871,186,488198,117,3622786,117,74426,69,435612,0,0,0,0,0,0,0,0,0,0,0,0,69,435612,117,1077781,4688665,2874,2146304,1474560,0,360,4096,0,0,2146304,1474560,,,,2874,4688665,2874,4688665,791,1613041,41,59,186,1513393,117,1077781,PASS,186,1513393,[],164854000,40009000
4,acknowledgement before verifier,performance-result.json#records/3,25eccdaedcfc918a32a30592219871a807f1e8a6,1e1d7a07440c152e3c867e7463a0dbde951563ee,fccba069b085a5a14278cc289634d96725f9198be8e708fcba6da670ebb4d51a,fc29561d3d967da8a34b32b92986ca9f2f076af49c41aa844078378729e42147,12054974955f4ec82833c1abc8fb1d3fce2572faa7a8c329c8af9898b8b0419c16,12abf1f2464247ae3fa75f0288c8a666c7b941f76e36d6f645a06a99d930c79e90,True,null,0,65,77,0,0,0,0,0,130,549268,29,88,766735,37,1512,0,0,128,2,0,309,2139260,240,1664095,69,475165,0,0,0,0,237,1658842,0,0,1,3714,0,0,71,476704,0,0,67,339049,309,2139260,5,2270,237,1658842,0,0,1,3714,0,0,0,0,0,0,2,1539,0,0,69,475165,0,0,0,0,3,540,42,26409,87,235943,142,1192584,35,683784,0,0,238,1662556,65,347545,5,100385,1,28774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,476704,0,0,71,476704,0,0,443,572544,558368,2044156,443,4225121,186,123,82,52,0,0,309,15546785,309,778190,71,2629542,71,44449,238,1662556,0,0,0,0,0,0,0,0,0,0,2,1539,240,1664095,69,475165,6999916,4386,3194880,2338816,0,571,4096,0,0,3194880,2338816,,,,4386,6999916,4386,6999916,1512,2311251,60,88,309,2139260,69,475165,PASS,309,2139260,[],298558417,70131833
5,acknowledgement before verifier,performance-result.json#records/4,93a6dc6716aad759cdb036700d79451b058d2d70,6a607577773a253fcfe582996b0544cb22436522,1dfcff946118c5c3ca33c6e0fc3cd77a3dc218d04b5e3c2c669296f8a037b239,5da19a48d04107e521e0b41e3cb3e02cc7f2836ed06f646716bdd6aec20bf998,12abf1f2464247ae3fa75f0288c8a666c7b941f76e36d6f645a06a99d930c79e90,1236d9f11dcce80291060815769596ece9c12bbd6b99f91483b2c2b60cd14f1af0,True,null,0,181,214,0,0,0,0,0,362,1458590,23,111,295244,29,1172,0,2,354,6,0,283,1838740,91,634847,192,1203893,0,0,0,0,86,614731,0,0,4,17928,0,0,193,1206081,0,0,14,233349,283,1838740,4,1625,86,614731,0,0,4,17928,0,0,0,0,0,0,1,2188,0,0,192,1203893,0,0,1,54,2,423,79,49471,59,134916,110,971213,32,682663,0,0,90,632659,175,888576,18,317505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,1206081,0,0,193,1206081,0,0,530,781081,764121,2653371,530,5740078,179,249,50,27,25,0,283,11784125,283,549251,193,4871872,193,62595,90,632659,0,0,0,0,0,0,0,0,0,0,1,2188,91,634847,192,1203893,8980175,5558,3194880,2699264,0,659,4096,0,0,3194880,2699264,,,,5558,8980175,5558,8980175,1172,1980259,89,111,283,1838740,192,1203893,PASS,283,1838740,[],273427125,68384250
6,acknowledgement before verifier,performance-result.json#records/5,b44066d54425c96a0dc110e0297787768817c878,8ea90b15a0e618cebcf87eaa8f8aaf4ebed09a8c,d4eaac147b42b619b81accadfed456b689d3512ccf837f8d3b16bcb39c56bd52,568221ae5ed0123f2beb0042b297703d66b73fa784c3e86dd61cb25c8b918e68,1236d9f11dcce80291060815769596ece9c12bbd6b99f91483b2c2b60cd14f1af0,12972f109c6896a49c8c3a5945568ca9c78d35c0842a979d03f2a23c9a97d920db,True,null,0,29,40,0,0,0,0,0,58,459477,6,117,88890,10,143,0,4,54,0,0,37,406015,8,91143,29,314872,0,0,0,0,2,12067,0,0,1,2516,0,0,34,391432,0,0,5,65529,37,406015,0,0,2,12067,0,0,1,2516,0,0,5,76560,0,0,0,0,0,0,29,314872,0,0,0,0,0,0,0,0,6,18628,24,233098,7,154289,0,0,3,14583,28,262874,6,128558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,314872,0,0,29,314872,0,0,361,360662,349110,1386713,361,2648159,195,48,76,19,11,12,37,2309208,37,145250,29,801213,29,12287,3,14583,0,0,0,0,0,0,5,76560,0,0,0,0,8,91143,29,314872,9443576,5701,3194880,2809856,0,686,4096,0,0,3194880,2809856,,,,5701,9443576,5701,9443576,143,463401,112,117,37,406015,29,314872,PASS,37,406015,[],92564083,23855500
7,acknowledgement before verifier,performance-result.json#records/6,5702f6244c11c2e0f64f4139655980a15a8510bd,54029f76cae85fd84daec42b7c5a1406eadcbe1e,e6875509b6e14fc4597f443b1b0e8ea00477d9e459857f43dd98c254ca269daf,e08a4cfe11888b791b16eb9fb71d242abbf7e7b3c3a9457d54b10a232003e17b,12972f109c6896a49c8c3a5945568ca9c78d35c0842a979d03f2a23c9a97d920db,122f3b844eb2af03aa41d0fbcc477a441583af9156975956720649621509fddf53,True,null,0,87,121,0,0,0,0,0,174,1267236,25,142,496988,36,1084,0,24,150,0,0,249,2111149,163,1169779,86,941370,0,0,0,0,151,1120709,0,0,4,8299,0,0,94,982141,0,0,25,277225,249,2111149,3,1185,151,1120709,0,0,4,8299,0,0,8,40771,0,0,0,0,0,0,86,941370,0,0,3,115,3,497,24,13241,58,144067,112,968989,49,984240,0,0,155,1129008,75,613403,18,354998,1,13740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,941370,0,0,86,941370,0,0,321,617260,606988,2605013,321,3702514,158,75,49,18,11,10,249,13938296,249,668689,86,2736832,86,58488,155,1129008,0,0,0,0,0,0,8,40771,0,0,0,0,163,1169779,86,941370,11706116,6785,4243456,3387392,0,827,4096,0,0,4243456,3387392,,,,6785,11706116,6785,11706116,1084,2262540,118,142,249,2111149,86,941370,PASS,249,2111149,[],229925709,55163417
8,acknowledgement before verifier,performance-result.json#records/7,0c5eadf9de9a830cd98daf52af47f4d696f77e5c,8e6f0c07c6e56ad52f26e587dbe870875a4cf01b,2ecd0d9031aede1313dbd6a9eb4ffc40df3145425bcd47ec47884d247350edd3,5bc962a190cae566ebeaf700a9273a67f64f76ccae90048eefa94bcc39bb81c2,122f3b844eb2af03aa41d0fbcc477a441583af9156975956720649621509fddf53,123f684f951c37d283544e0a851882b2d9ad96ec7a1254621abd79a89b1c917836,True,null,0,175,226,0,0,0,0,0,350,2248597,37,179,506591,52,1442,0,2,348,0,0,351,3113992,159,1198581,192,1915411,0,0,0,0,148,1135152,0,0,5,8823,0,0,198,1970017,0,0,23,269757,351,3113992,12,2992,148,1135152,0,0,5,8823,0,0,6,54606,0,0,0,0,0,0,192,1915411,0,0,1,55,13,2740,24,12785,67,182444,171,1399242,75,1516726,0,0,153,1143975,170,1478680,26,453882,2,37455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,1915411,0,0,192,1915411,0,0,577,1120791,1102327,4729220,577,7358871,242,196,76,34,18,11,351,17704037,351,964974,192,6141142,192,116466,153,1143975,0,0,0,0,0,0,6,54606,0,0,0,0,159,1198581,192,1915411,15013140,8227,4243456,4014080,0,980,4096,0,0,4243456,4014080,,,,8227,15013140,8227,15013140,1442,3307024,143,179,351,3113992,192,1915411,PASS,351,3113992,[],316463834,88679000
9,acknowledgement before verifier,performance-result.json#records/8,96055d1763d6ef954d1d6f61a76c7790ae6702e5,6b5c6e68029d91b22662fc494123e5994727c066,f68df3bf3bf4cd8cdcc65781d50942bc19498b6dbd671b7c7ef17b1bd132ed01,86ccd37ea295fe63c1dad5a603def60f561eecd153bfb593d797b03a695123a1,123f684f951c37d283544e0a851882b2d9ad96ec7a1254621abd79a89b1c917836,125ed04f7d5e24efe1948f3681b0655f98718fbe5f137161e0717885c4c2fa707c,True,null,0,141,186,0,0,0,0,0,282,1904208,23,202,332635,34,832,0,4,278,0,0,206,1959681,51,406224,155,1553457,0,0,0,0,42,283008,0,0,2,21248,0,0,162,1655425,0,0,22,227535,206,1959681,0,0,42,283008,0,0,2,21248,0,0,7,101968,0,0,0,0,0,0,155,1553457,0,0,0,0,1,253,11,7222,40,105057,110,921152,44,925997,0,0,44,304256,135,1174253,26,454241,1,26931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,1553457,0,0,155,1553457,0,0,665,1177991,1156711,5341722,665,7877837,304,177,108,45,18,13,206,11446677,206,665231,155,4715794,155,92318,44,304256,0,0,0,0,0,0,7,101968,0,0,0,0,51,406224,155,1553457,17114401,9059,5292032,4378624,0,1069,4096,0,0,5292032,4378624,,,,9059,17114401,9059,17114401,832,2101261,180,202,206,1959681,155,1553457,PASS,206,1959681,[],297466000,63545583
