role,kind,bin,lower_bytes,upper_bytes,objects_count,canonical_bytes,population,snapshot,provenance,status
FileState,FULL,0..63,0,63,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite,derived
FileState,FULL,64..255,64,255,75927,8048262,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite,derived
FileState,FULL,256..1023,256,1023,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite,derived
FileState,FULL,1024..4095,1024,4095,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite,derived
FileState,FULL,4096..16383,4096,16383,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite,derived
FileState,FULL,16384..65535,16384,65535,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite,derived
FileState,FULL,65536+,65536,null,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite,derived
directory_map_branch,FULL,0..63,0,63,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite,derived
directory_map_branch,FULL,64..255,64,255,128,25253,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite,derived
directory_map_branch,FULL,256..1023,256,1023,278,135203,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-candidate-census-1/roles-inventory.sqlite,derived
