version,codec,role_class,groups_count,encoded_bytes,decoded_bytes,records_count,population,snapshot,provenance,status
1,Raw,FileState,1,115,115,1,all physical groups; each encoded group counted once,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#groups/records/pack_versions,derived
1,Raw,directory_map_leaf,1,231,231,1,all physical groups; each encoded group counted once,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#groups/records/pack_versions,derived
1,Raw,extent_leaf,4,532,532,4,all physical groups; each encoded group counted once,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#groups/records/pack_versions,derived
1,Raw,inode_record,4,531,531,5,all physical groups; each encoded group counted once,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#groups/records/pack_versions,derived
1,Raw,inode_table_leaf,69,446632,446632,125,all physical groups; each encoded group counted once,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#groups/records/pack_versions,derived
1,Raw,mixed_roles,517,4740215,4740215,2652,all physical groups; each encoded group counted once,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#groups/records/pack_versions,derived
1,Raw,namespace_root,4,520,520,4,all physical groups; each encoded group counted once,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#groups/records/pack_versions,derived
1,Raw,payload_chunk,429,197308,197308,496,all physical groups; each encoded group counted once,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#groups/records/pack_versions,derived
1,Zstandard,directory_map_leaf,53,373208,639249,131,all physical groups; each encoded group counted once,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#groups/records/pack_versions,derived
1,Zstandard,inode_record,17,6119,12222,118,all physical groups; each encoded group counted once,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#groups/records/pack_versions,derived
1,Zstandard,inode_table_leaf,15,31707,34073,23,all physical groups; each encoded group counted once,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#groups/records/pack_versions,derived
1,Zstandard,mixed_roles,9232,51180563,68722231,276804,all physical groups; each encoded group counted once,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#groups/records/pack_versions,derived
1,Zstandard,payload_chunk,28726,125100710,305923260,85921,all physical groups; each encoded group counted once,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#groups/records/pack_versions,derived
