role,kind,objects_count,canonical_bytes,decoded_record_bytes,population,snapshot,provenance,status
FileState,FULL,75927,8048262,8124189,unique selected objects by exclusive role and representation,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#records[selected=1],derived
directory_map_branch,FULL,406,160456,160862,unique selected objects by exclusive role and representation,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#records[selected=1],derived
directory_map_leaf,FULL,14023,11240607,11254630,unique selected objects by exclusive role and representation,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#records[selected=1],derived
directory_state,FULL,13647,1337406,1351053,unique selected objects by exclusive role and representation,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#records[selected=1],derived
extent_leaf,FULL,75927,7337108,7413035,unique selected objects by exclusive role and representation,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#records[selected=1],derived
inode_record,FULL,89576,8778448,8868024,unique selected objects by exclusive role and representation,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#records[selected=1],derived
inode_table_branch,FULL,159,668436,668595,unique selected objects by exclusive role and representation,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#records[selected=1],derived
inode_table_leaf,DELTA,4647,26640628,5470371,unique selected objects by exclusive role and representation,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#records[selected=1],derived
inode_table_leaf,FULL,5387,30100964,30106351,unique selected objects by exclusive role and representation,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#records[selected=1],derived
metadata_map_leaf,FULL,4,572,576,unique selected objects by exclusive role and representation,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#records[selected=1],derived
namespace_root,FULL,158,19118,19276,unique selected objects by exclusive role and representation,final pre-verification immutable logical snapshot; allocation not equivalent,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite; bound exact-decoder proof /Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-proof-1/inventory-proof.json#records[selected=1],derived
