checkpoint,snapshot,provenance,source_sha,source_tree,source_oracle_sha256,source_manifest_sha256,previous_layerfs_mapping,resulting_layerfs_mapping,created,source_identity_null_reason,diag_invalid,diag_cursor_attached,diag_cursor_queries,diag_cursor_inherited,diag_cursor_memory_limit,diag_cursor_file_limit,diag_cursor_operation_limit,diag_cursor_descriptor_limit,diag_cursor_grants,diag_cursor_query_bytes,diag_selected_pack_count,diag_selected_pack_last_id,diag_selected_pack_bytes,diag_selected_pack_groups,diag_selected_pack_records,diag_selected_unlocated_records,diag_occurrence_preexisting_grants,diag_occurrence_missing_grants,diag_occurrence_duplicate_grants,diag_file_source_without_chunk,diag_eligible_count,diag_eligible_bytes,diag_new_full_count,diag_new_full_bytes,diag_new_delta_count,diag_new_delta_bytes,diag_race_count,diag_race_bytes,diag_nonfile_chunk_count,diag_nonfile_chunk_bytes,diag_no_predecessor_count,diag_no_predecessor_bytes,diag_missing_span_count,diag_missing_span_bytes,diag_complete_empty_count,diag_complete_empty_bytes,diag_limited_empty_count,diag_limited_empty_bytes,diag_complete_hints_count,diag_complete_hints_bytes,diag_limited_hints_count,diag_limited_hints_bytes,diag_occurrence_preexisting_count,diag_occurrence_preexisting_bytes,diag_occurrence_missing_count,diag_occurrence_missing_bytes,diag_occurrence_duplicate_count,diag_occurrence_duplicate_bytes,diag_terminal_no_predecessor_count,diag_terminal_no_predecessor_bytes,diag_terminal_missing_span_count,diag_terminal_missing_span_bytes,diag_terminal_no_overlap_count,diag_terminal_no_overlap_bytes,diag_terminal_correspondence_limit_count,diag_terminal_correspondence_limit_bytes,diag_terminal_base_count,diag_terminal_base_bytes,diag_terminal_budget_count,diag_terminal_budget_bytes,diag_terminal_no_delta_count,diag_terminal_no_delta_bytes,diag_terminal_mixed_rejection_count,diag_terminal_mixed_rejection_bytes,diag_terminal_delta_count,diag_terminal_delta_bytes,diag_terminal_unknown_count,diag_terminal_unknown_bytes,diag_size_lt64_count,diag_size_lt64_bytes,diag_size_lt256_count,diag_size_lt256_bytes,diag_size_lt1024_count,diag_size_lt1024_bytes,diag_size_lt4096_count,diag_size_lt4096_bytes,diag_size_lt16384_count,diag_size_lt16384_bytes,diag_size_lt65536_count,diag_size_lt65536_bytes,diag_size_ge65536_count,diag_size_ge65536_bytes,diag_hints_0_count,diag_hints_0_bytes,diag_hints_1_count,diag_hints_1_bytes,diag_hints_2_count,diag_hints_2_bytes,diag_hints_3_count,diag_hints_3_bytes,diag_hints_4_count,diag_hints_4_bytes,diag_limit_memory_first_count,diag_limit_memory_first_bytes,diag_limit_memory_first_empty_count,diag_limit_memory_first_empty_bytes,diag_limit_memory_inherited_count,diag_limit_memory_inherited_bytes,diag_limit_memory_inherited_empty_count,diag_limit_memory_inherited_empty_bytes,diag_limit_file_first_count,diag_limit_file_first_bytes,diag_limit_file_first_empty_count,diag_limit_file_first_empty_bytes,diag_limit_file_inherited_count,diag_limit_file_inherited_bytes,diag_limit_file_inherited_empty_count,diag_limit_file_inherited_empty_bytes,diag_limit_operation_first_count,diag_limit_operation_first_bytes,diag_limit_operation_first_empty_count,diag_limit_operation_first_empty_bytes,diag_limit_operation_inherited_count,diag_limit_operation_inherited_bytes,diag_limit_operation_inherited_empty_count,diag_limit_operation_inherited_empty_bytes,diag_limit_descriptor_first_count,diag_limit_descriptor_first_bytes,diag_limit_descriptor_first_empty_count,diag_limit_descriptor_first_empty_bytes,diag_limit_descriptor_inherited_count,diag_limit_descriptor_inherited_bytes,diag_limit_descriptor_inherited_empty_count,diag_limit_descriptor_inherited_empty_bytes,diag_event_fetch_budget_count,diag_event_fetch_budget_bytes,diag_event_match_budget_count,diag_event_match_budget_bytes,diag_event_instruction_budget_count,diag_event_instruction_budget_bytes,diag_event_memory_budget_count,diag_event_memory_budget_bytes,diag_event_base,diag_event_base_bytes,diag_event_budget,diag_event_budget_bytes,diag_event_candidate,diag_event_candidate_bytes,diag_event_mixed_rejection,diag_event_mixed_rejection_bytes,native_record_fetches,native_request_bytes,native_parser_bytes,native_raw_decoded_bytes,native_decode_calls,native_decode_ns,native_dependency_edges,native_depth_0,native_depth_1,native_depth_2,native_depth_3,native_depth_4,native_full_encode_calls,native_full_encode_ns,native_full_frame_count,native_full_frame_bytes,native_prefix_encode_calls,native_prefix_encode_ns,native_prefix_frame_count,native_prefix_frame_bytes,native_fallback_no_hint_count,native_fallback_no_hint_bytes,native_fallback_unavailable_count,native_fallback_unavailable_bytes,native_fallback_legacy_delta_count,native_fallback_legacy_delta_bytes,native_fallback_role_count,native_fallback_role_bytes,native_fallback_depth_count,native_fallback_depth_bytes,native_fallback_budget_count,native_fallback_budget_bytes,native_fallback_full_wins_count,native_fallback_full_wins_bytes,native_admitted_full_count,native_admitted_full_bytes,native_admitted_prefix_count,native_admitted_prefix_bytes,canonical_bytes,canonical_objects,database_allocated_bytes,database_logical_bytes,freelist_page_count,page_count,page_size_bytes,sidecar_allocated_bytes,sidecar_logical_bytes,store_allocated_bytes,store_apparent_bytes,init_elapsed_ns,fork_elapsed_ns,mount_elapsed_ns,ack_objects,ack_canonical_bytes,retained_objects,retained_canonical_bytes,new_ack_objects,new_ack_canonical_bytes,pack_first_id,pack_last_id,derived_selected_file_count,derived_selected_file_bytes,derived_selected_file_delta_count,derived_selected_file_delta_bytes,status,unique_eligible_count,unique_eligible_bytes,errors,exec_elapsed_ns,commit_elapsed_ns
0,acknowledgement before verifier,performance-result.json#ready,null,null,null,null,null,32fecf515eec3a390dc203dc1e9db2220a36d0af3dd17376af19372481f68ec50c,null,Init has no source checkpoint or prior mapping,0,0,0,0,0,0,0,0,0,0,1,1,867,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050,12,69632,69632,0,17,4096,0,0,69632,69632,1973416,119042,18357375,12,1050,12,1050,12,1050,1,1,0,0,0,0,PASS,0,0,[],,
1,acknowledgement before verifier,performance-result.json#records/0,ca4e1c3a1c61129bd95ee57dd744bc53c2e635bb,a1b6dc6ff544ac011c47e5dc4c1f4bb2b399c108,9ff51404fe3ea33de4b70d33c2f3241780ab866768d59b15c183b5211c327f02,cf2213377cb9f62a7244f55ec80133935d1fcefed4e5e86bd1c7341a33309a47,32fecf515eec3a390dc203dc1e9db2220a36d0af3dd17376af19372481f68ec50c,1231aae5d65bfda4eafdc8d7d58eb04bf2778b3981f5a0241952b0474e4fbe584e,True,null,0,0,0,0,0,0,0,0,0,0,11,12,583945,76,1338,0,0,0,0,0,283,1495276,283,1495276,0,0,0,0,3,83,283,1495276,0,0,0,0,0,0,0,0,0,0,0,0,283,1495276,12,9984,283,1495276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46,5,777,64,38522,102,249640,84,662631,27,543660,0,0,283,1495276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1633857,1350,733184,733184,0,179,4096,0,0,733184,733184,,,,1350,1633857,1350,1633857,1338,1632807,2,12,283,1495276,0,0,PASS,283,1495276,[],128086959,26274416
2,acknowledgement before verifier,performance-result.json#records/1,a009b1e995d38a2149d84067bbf461f8be0e3456,011e99a519bfdf201221b0a5db8ffe926dca6afe,c53eabfbcfe2323a5f4f6a6b9490a48aeb52975c8a427ed83d8a4e7ae415347c,1f9a566d82b0a2e4865a06c7d705a422b89ed9476de1a67240f88e197d7ded58,1231aae5d65bfda4eafdc8d7d58eb04bf2778b3981f5a0241952b0474e4fbe584e,12d682eba20e0402656a9b527cab6c4ccb67708e1f0faac6ad026fd52b6b62897d,True,null,0,97,115,0,0,0,0,0,194,832680,9,21,338275,69,733,0,2,192,0,0,189,1356519,83,598522,106,757997,0,0,0,0,79,565972,0,0,3,14677,0,0,107,775870,0,0,5,42133,189,1356519,0,0,79,565972,0,0,3,14677,0,0,0,0,0,0,0,0,1,17873,106,757997,0,0,0,0,2,433,20,15554,67,166681,69,560275,31,613576,0,0,82,580649,95,557587,12,218283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,775870,0,0,107,775870,1,17873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3075624,2083,2109440,1118208,0,273,4096,0,0,2109440,1118208,,,,2083,3075624,2083,3075624,733,1441767,13,21,189,1356519,106,757997,PASS,189,1356519,[],160427917,66704500
3,acknowledgement before verifier,performance-result.json#records/2,bcf255fc57cb3b6cfca3cd4b1df79ee33815f1bd,92f8aac2050f81f57ca202bcd5ec92f4b197a31e,a442f7d91c82bf6ab0196133399248c1322aaac6fff73628f9221bd6ddfb9256,94b14d1e4a4d029eecce598e3efdfbb27e74a338737ce68ea7a8a0e6becda845,12d682eba20e0402656a9b527cab6c4ccb67708e1f0faac6ad026fd52b6b62897d,12b3e2c46104cf48f5571c30bcbff43f2ef00272f1d385fd6db758c3be1c531898,True,null,0,102,131,0,0,0,0,0,204,1246599,10,31,318336,73,791,0,0,204,0,0,186,1513393,69,435612,117,1077781,0,0,0,0,68,435390,0,0,1,222,0,0,117,1077781,0,0,14,168911,186,1513393,3,330,68,435390,0,0,1,222,0,0,0,0,0,0,0,0,0,0,117,1077781,0,0,2,73,11,1999,14,9409,38,98983,90,819221,31,583708,0,0,69,435612,97,771038,20,306743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,1077781,0,0,117,1077781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4688665,2874,2109440,1482752,0,362,4096,0,0,2109440,1482752,,,,2874,4688665,2874,4688665,791,1613041,22,31,186,1513393,117,1077781,PASS,186,1513393,[],196591167,86249000
4,acknowledgement before verifier,performance-result.json#records/3,25eccdaedcfc918a32a30592219871a807f1e8a6,1e1d7a07440c152e3c867e7463a0dbde951563ee,fccba069b085a5a14278cc289634d96725f9198be8e708fcba6da670ebb4d51a,fc29561d3d967da8a34b32b92986ca9f2f076af49c41aa844078378729e42147,12b3e2c46104cf48f5571c30bcbff43f2ef00272f1d385fd6db758c3be1c531898,129cc8426691584d18846cc3d2b220814d6596d67a8d0712a153c4c8e73bd8f8bc,True,null,0,65,77,0,0,0,0,0,130,549268,15,46,760718,107,1511,0,0,128,2,0,309,2139260,242,1665866,67,473394,0,0,0,0,237,1658842,0,0,1,3714,0,0,71,476704,0,0,67,339049,309,2139260,5,2270,237,1658842,0,0,1,3714,0,0,0,0,0,0,4,3310,0,0,67,473394,0,0,0,0,3,540,42,26409,87,235943,142,1192584,35,683784,0,0,238,1662556,65,347545,5,100385,1,28774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,476704,0,0,67,473394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6999808,4385,3158016,2334720,0,570,4096,0,0,3158016,2334720,,,,4385,6999808,4385,6999808,1511,2311143,32,46,309,2139260,67,473394,PASS,309,2139260,[],337933000,82935666
5,acknowledgement before verifier,performance-result.json#records/4,93a6dc6716aad759cdb036700d79451b058d2d70,6a607577773a253fcfe582996b0544cb22436522,1dfcff946118c5c3ca33c6e0fc3cd77a3dc218d04b5e3c2c669296f8a037b239,5da19a48d04107e521e0b41e3cb3e02cc7f2836ed06f646716bdd6aec20bf998,129cc8426691584d18846cc3d2b220814d6596d67a8d0712a153c4c8e73bd8f8bc,12cfcf0320095eecba57e5305a8674d9cb12d4fe90dfe1a672fafcb29d0794124d,True,null,0,181,214,0,0,0,0,0,362,1458590,12,58,343410,94,1172,0,2,354,6,0,283,1838740,95,672008,188,1166732,0,0,0,0,86,614731,0,0,4,17928,0,0,193,1206081,0,0,14,233349,283,1838740,4,1625,86,614731,0,0,4,17928,0,0,0,0,0,0,1,2188,4,37161,188,1166732,0,0,1,54,2,423,79,49471,59,134916,110,971213,32,682663,0,0,90,632659,175,888576,18,317505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,1206081,0,0,192,1203893,4,37161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8980067,5557,3158016,2744320,0,670,4096,0,0,3158016,2744320,,,,5557,8980067,5557,8980067,1172,1980259,47,58,283,1838740,188,1166732,PASS,283,1838740,[],305660375,100157333
6,acknowledgement before verifier,performance-result.json#records/5,b44066d54425c96a0dc110e0297787768817c878,8ea90b15a0e618cebcf87eaa8f8aaf4ebed09a8c,d4eaac147b42b619b81accadfed456b689d3512ccf837f8d3b16bcb39c56bd52,568221ae5ed0123f2beb0042b297703d66b73fa784c3e86dd61cb25c8b918e68,12cfcf0320095eecba57e5305a8674d9cb12d4fe90dfe1a672fafcb29d0794124d,129de12ffae6ec04f87bb480c24625afdbf54c0c4ded958af8939781c7e346d7dc,True,null,0,29,40,0,0,0,0,0,58,459477,3,61,79499,22,143,0,4,54,0,0,37,406015,8,44575,29,361440,0,0,0,0,2,12067,0,0,1,2516,0,0,34,391432,0,0,5,65529,37,406015,0,0,2,12067,0,0,1,2516,0,0,0,0,0,0,0,0,5,29992,29,361440,0,0,0,0,0,0,0,0,6,18628,24,233098,7,154289,0,0,3,14583,28,262874,6,128558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,391432,0,0,34,391432,5,29992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9443468,5700,3158016,2830336,0,691,4096,0,0,3158016,2830336,,,,5700,9443468,5700,9443468,143,463401,59,61,37,406015,29,361440,PASS,37,406015,[],108124958,39354167
7,acknowledgement before verifier,performance-result.json#records/6,5702f6244c11c2e0f64f4139655980a15a8510bd,54029f76cae85fd84daec42b7c5a1406eadcbe1e,e6875509b6e14fc4597f443b1b0e8ea00477d9e459857f43dd98c254ca269daf,e08a4cfe11888b791b16eb9fb71d242abbf7e7b3c3a9457d54b10a232003e17b,129de12ffae6ec04f87bb480c24625afdbf54c0c4ded958af8939781c7e346d7dc,12bcd436260f21b59be55832e7b961c285ecfe7291254121fe9706fa863d31b714,True,null,0,87,121,0,0,0,0,0,174,1267236,13,74,548104,106,1085,0,24,150,0,0,249,2111149,155,1129008,94,982141,0,0,0,0,151,1120709,0,0,4,8299,0,0,94,982141,0,0,25,277225,249,2111149,3,1185,151,1120709,0,0,4,8299,0,0,0,0,0,0,0,0,0,0,94,982141,0,0,3,115,3,497,24,13241,58,144067,112,968989,49,984240,0,0,155,1129008,75,613403,18,354998,1,13740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,982141,0,0,94,982141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11706116,6785,4206592,3448832,0,842,4096,0,0,4206592,3448832,,,,6785,11706116,6785,11706116,1085,2262648,62,74,249,2111149,94,982141,PASS,249,2111149,[],228416458,110120666
8,acknowledgement before verifier,performance-result.json#records/7,0c5eadf9de9a830cd98daf52af47f4d696f77e5c,8e6f0c07c6e56ad52f26e587dbe870875a4cf01b,2ecd0d9031aede1313dbd6a9eb4ffc40df3145425bcd47ec47884d247350edd3,5bc962a190cae566ebeaf700a9273a67f64f76ccae90048eefa94bcc39bb81c2,12bcd436260f21b59be55832e7b961c285ecfe7291254121fe9706fa863d31b714,121859e601e7df41b4e5461100dfc320457f9fb8711a8de107852ac59f202c49c1,True,null,0,175,226,0,0,0,0,0,350,2248597,19,93,576598,152,1442,0,2,348,0,0,351,3113992,160,1188953,191,1925039,0,0,0,0,148,1135152,0,0,5,8823,0,0,198,1970017,0,0,23,269757,351,3113992,12,2992,148,1135152,0,0,5,8823,0,0,0,0,0,0,0,0,7,44978,191,1925039,0,0,1,55,13,2740,24,12785,67,182444,171,1399242,75,1516726,0,0,153,1143975,170,1478680,26,453882,2,37455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,1970017,0,0,198,1970017,7,44978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15013140,8227,4206592,4108288,0,1003,4096,0,0,4206592,4108288,,,,8227,15013140,8227,15013140,1442,3307024,75,93,351,3113992,191,1925039,PASS,351,3113992,[],347479208,159589875
9,acknowledgement before verifier,performance-result.json#records/8,96055d1763d6ef954d1d6f61a76c7790ae6702e5,6b5c6e68029d91b22662fc494123e5994727c066,f68df3bf3bf4cd8cdcc65781d50942bc19498b6dbd671b7c7ef17b1bd132ed01,86ccd37ea295fe63c1dad5a603def60f561eecd153bfb593d797b03a695123a1,121859e601e7df41b4e5461100dfc320457f9fb8711a8de107852ac59f202c49c1,12cfc7d68a14634fd05a64b0dc4aff504d5fe953b6648366635a23aad319f2606e,True,null,0,141,186,0,0,0,0,0,282,1904208,12,105,394977,97,832,0,4,278,0,0,206,1959681,49,399581,157,1560100,0,0,0,0,42,283008,0,0,2,21248,0,0,162,1655425,0,0,22,227535,206,1959681,0,0,42,283008,0,0,2,21248,0,0,0,0,0,0,0,0,5,95325,157,1560100,0,0,0,0,1,253,11,7222,40,105057,110,921152,44,925997,0,0,44,304256,135,1174253,26,454241,1,26931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,1655425,0,0,162,1655425,5,95325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17114401,9059,5255168,4554752,0,1112,4096,0,0,5255168,4554752,,,,9059,17114401,9059,17114401,832,2101261,94,105,206,1959681,157,1560100,PASS,206,1959681,[],306522084,129687792
