family,case,tier,fixture_bytes,fixture_files,fixture_profile,seed,sample_count,timer,elapsed_ns,status,verification,target_ns,target_status,preparation_wall_ns,command_wall_ns,create_ns,exec_ns,sdk_edit_ns,commit_ns,visibility_ns,end_ns,host_peak_rss_bytes,container_peak_bytes,host_cpu_ns,host_cpu_scope,container_cpu_ns,verification_wall_seconds,apply_ns,git_first_status_ns,git_diff_ns,git_add_ns,git_cached_check_ns,git_commit_ns,git_final_status_ns,previous_elapsed_ns,difference_ns,difference_percent,resource_status,cleanup_status,cleanup_wall_ns,source_identity,product_identity,harness_identity,input_identity,image,proof_evidence,evidence,comparison_eligibility,comparison_reason,historical_checkpoint
payload_create_read,payload-create-1m-compact-v2,1,0,0,compact-low-tier-v2,1,1,pure_call_sum_ns,32793624,PASS,PASS,15000000000,PASS,647710750,443426375,9404125,9790791,,10851333,69000,2678375,13467648,8531968,37690416,host process after-product minus before counters,22995000,1.9868718750076368,,,,,,,,28837459,3956165,13.718840484523966,PASS,PASS,344543583,f592c3ae20935d7623d465e8aacf22703c6861876d758117adba705110f2d0fc,446df40465ad55181b95112968f999534c7d6cb1a2f4d22b4014ecdda120b493,c2cb953968812a9e401ea362c4aa6cdeea9e03453fbdcaa651cfb01734914405,fd07ace3525b0580c3b99a68675bfd51139418e7f466eddc8b6fc1e9a9dbac08,sha256:8e74a58284a6e8c22ac9cbf60231f69217c3cae31c231ef17b0afd81726b8249,verification/payload_create_read/payload-create-1m-compact-v2/verification.json,performance/payload_create_read/payload-create-1m-compact-v2/perf.jsonl,directly-comparable,"Identical family, fixture generator, schedule, operation and timer source at v0.1.3 and candidate; runtime recipe/content and timer validation required. Optional endurance unexecuted historically.",9f5a641d223606c45e5e6aa8a20094c12f9139a1
payload_create_read,payload-create-10m-compact-v2,10,0,0,compact-low-tier-v2,1,1,pure_call_sum_ns,84415708,PASS,PASS,15000000000,PASS,579968750,439740750,8321709,33569875,,39713458,67041,2743625,29573120,10117120,87518542,host process after-product minus before counters,30882000,2.2637014580104733,,,,,,,,91556041,-7140333,-7.798866051886188,PASS,PASS,355666917,f592c3ae20935d7623d465e8aacf22703c6861876d758117adba705110f2d0fc,446df40465ad55181b95112968f999534c7d6cb1a2f4d22b4014ecdda120b493,c2cb953968812a9e401ea362c4aa6cdeea9e03453fbdcaa651cfb01734914405,4f0a670fc6f9e4beacdde97ee2cfcc4e9c17f22d93ff5e67cdb2c2ca5a6639e3,sha256:8e74a58284a6e8c22ac9cbf60231f69217c3cae31c231ef17b0afd81726b8249,verification/payload_create_read/payload-create-10m-compact-v2/verification.json,performance/payload_create_read/payload-create-10m-compact-v2/perf.jsonl,directly-comparable,"Identical family, fixture generator, schedule, operation and timer source at v0.1.3 and candidate; runtime recipe/content and timer validation required. Optional endurance unexecuted historically.",9f5a641d223606c45e5e6aa8a20094c12f9139a1
payload_create_read,payload-create-100m,100,0,0,registered-fixture,1,1,pure_call_sum_ns,662002582,PASS,PASS,15000000000,PASS,696859292,1124662959,8321625,282778000,,361894875,96291,8911791,57262080,12603392,585747291,host process after-product minus before counters,189974000,3.9128714580001542,,,,,,,,682771167,-20768585,-3.0418075636166986,PASS,PASS,400011875,f592c3ae20935d7623d465e8aacf22703c6861876d758117adba705110f2d0fc,446df40465ad55181b95112968f999534c7d6cb1a2f4d22b4014ecdda120b493,c2cb953968812a9e401ea362c4aa6cdeea9e03453fbdcaa651cfb01734914405,36fde02efe1c65803bb5943593b9896b59e02b98f7b369a56f349a4613d40f1f,sha256:8e74a58284a6e8c22ac9cbf60231f69217c3cae31c231ef17b0afd81726b8249,verification/payload_create_read/payload-create-100m/verification.json,performance/payload_create_read/payload-create-100m/perf.jsonl,directly-comparable,"Identical family, fixture generator, schedule, operation and timer source at v0.1.3 and candidate; runtime recipe/content and timer validation required. Optional endurance unexecuted historically.",9f5a641d223606c45e5e6aa8a20094c12f9139a1
payload_create_read,payload-create-500m,500,0,0,registered-fixture,1,1,pure_call_sum_ns,2701167542,PASS,PASS,15000000000,PASS,628893667,3348548209,8546291,1215712792,,1468741417,102750,8064292,58228736,13135872,2484299207,host process after-product minus before counters,469194000,11.078752832996543,,,,,,,,3068249542,-367082000,-11.963889995750547,PASS,PASS,421858625,f592c3ae20935d7623d465e8aacf22703c6861876d758117adba705110f2d0fc,446df40465ad55181b95112968f999534c7d6cb1a2f4d22b4014ecdda120b493,c2cb953968812a9e401ea362c4aa6cdeea9e03453fbdcaa651cfb01734914405,24934b53f5e2f462510a2cbe05cd74e0c2237120d5897229adf476b483906a99,sha256:8e74a58284a6e8c22ac9cbf60231f69217c3cae31c231ef17b0afd81726b8249,verification/payload_create_read/payload-create-500m/verification.json,performance/payload_create_read/payload-create-500m/perf.jsonl,directly-comparable,"Identical family, fixture generator, schedule, operation and timer source at v0.1.3 and candidate; runtime recipe/content and timer validation required. Optional endurance unexecuted historically.",9f5a641d223606c45e5e6aa8a20094c12f9139a1
payload_create_read,payload-random-read-1-compact-v2,1,1048576,1,compact-low-tier-v2,1,1,pure_call_sum_ns,17123751,PASS,PASS,15000000000,PASS,648819041,390449292,8982333,3689334,,1872542,150125,2429417,8077312,5918720,29849292,host process after-product minus before counters,19693000,2.1241928749950603,,,,,,,,14584500,2539251,17.410614008022215,PASS,PASS,350507666,f592c3ae20935d7623d465e8aacf22703c6861876d758117adba705110f2d0fc,446df40465ad55181b95112968f999534c7d6cb1a2f4d22b4014ecdda120b493,c2cb953968812a9e401ea362c4aa6cdeea9e03453fbdcaa651cfb01734914405,38e00c73a990323831ffa8398094b654cebbe7a2af0ab162d0939888a4e69455,sha256:8e74a58284a6e8c22ac9cbf60231f69217c3cae31c231ef17b0afd81726b8249,verification/payload_create_read/payload-random-read-1-compact-v2/verification.json,performance/payload_create_read/payload-random-read-1-compact-v2/perf.jsonl,directly-comparable,"Identical family, fixture generator, schedule, operation and timer source at v0.1.3 and candidate; runtime recipe/content and timer validation required. Optional endurance unexecuted historically.",9f5a641d223606c45e5e6aa8a20094c12f9139a1
payload_create_read,payload-random-read-10-compact-v2,10,10485760,1,compact-low-tier-v2,1,1,pure_call_sum_ns,22835958,PASS,PASS,15000000000,PASS,840959209,391969417,9517167,8952333,,1713000,78000,2575458,10190848,5636096,33367458,host process after-product minus before counters,21552000,2.488251750008203,,,,,,,,17420292,5415666,31.088261895954442,PASS,PASS,361952125,f592c3ae20935d7623d465e8aacf22703c6861876d758117adba705110f2d0fc,446df40465ad55181b95112968f999534c7d6cb1a2f4d22b4014ecdda120b493,c2cb953968812a9e401ea362c4aa6cdeea9e03453fbdcaa651cfb01734914405,fc1e3010b06ad7e25bc9ac0be6cfd436ba617f484dac4ac5bed5fdecc02f40a0,sha256:8e74a58284a6e8c22ac9cbf60231f69217c3cae31c231ef17b0afd81726b8249,verification/payload_create_read/payload-random-read-10-compact-v2/verification.json,performance/payload_create_read/payload-random-read-10-compact-v2/perf.jsonl,directly-comparable,"Identical family, fixture generator, schedule, operation and timer source at v0.1.3 and candidate; runtime recipe/content and timer validation required. Optional endurance unexecuted historically.",9f5a641d223606c45e5e6aa8a20094c12f9139a1
payload_create_read,payload-random-read-100,100,524288000,1,registered-fixture,1,1,pure_call_sum_ns,64856375,PASS,PASS,15000000000,PASS,8472920375,549706625,8068625,52621500,,1798750,76541,2290959,30916608,5660672,87078416,host process after-product minus before counters,30448000,16.31882716700784,,,,,,,,56396250,8460125,15.00121905268524,PASS,PASS,709173500,f592c3ae20935d7623d465e8aacf22703c6861876d758117adba705110f2d0fc,446df40465ad55181b95112968f999534c7d6cb1a2f4d22b4014ecdda120b493,c2cb953968812a9e401ea362c4aa6cdeea9e03453fbdcaa651cfb01734914405,29d0297ea26c5b24d313d17b61157f1a5737a091a0bb6611f9568d0763f8a1dd,sha256:8e74a58284a6e8c22ac9cbf60231f69217c3cae31c231ef17b0afd81726b8249,verification/payload_create_read/payload-random-read-100/verification.json,performance/payload_create_read/payload-random-read-100/perf.jsonl,directly-comparable,"Identical family, fixture generator, schedule, operation and timer source at v0.1.3 and candidate; runtime recipe/content and timer validation required. Optional endurance unexecuted historically.",9f5a641d223606c45e5e6aa8a20094c12f9139a1
payload_create_read,payload-random-read-500,500,524288000,1,registered-fixture,1,1,pure_call_sum_ns,259409875,PASS,PASS,15000000000,PASS,2284327166,709334708,8620417,245249750,,2357125,84292,3098291,45432832,12042240,162618500,host process after-product minus before counters,71947000,9.802170583992847,,,,,,,,219687084,39722791,18.081532276153293,PASS,PASS,750280250,f592c3ae20935d7623d465e8aacf22703c6861876d758117adba705110f2d0fc,446df40465ad55181b95112968f999534c7d6cb1a2f4d22b4014ecdda120b493,c2cb953968812a9e401ea362c4aa6cdeea9e03453fbdcaa651cfb01734914405,9617a664386ac9453b520f0a86ce739d26f9a84d4dfc9050eb469c6ecfe597e3,sha256:8e74a58284a6e8c22ac9cbf60231f69217c3cae31c231ef17b0afd81726b8249,verification/payload_create_read/payload-random-read-500/verification.json,performance/payload_create_read/payload-random-read-500/perf.jsonl,directly-comparable,"Identical family, fixture generator, schedule, operation and timer source at v0.1.3 and candidate; runtime recipe/content and timer validation required. Optional endurance unexecuted historically.",9f5a641d223606c45e5e6aa8a20094c12f9139a1
dedup_workspace_reuse,dedup-workspace-exact-1-compact-v2,1,1048576,1,compact-low-tier-v2,1,1,pure_call_sum_ns,36174457,PASS,PASS,15000000000,PASS,640277667,431534250,9486208,13923333,,9501542,91583,3171791,12615680,7831552,38071208,host process after-product minus before counters,23661000,2.863152333011385,,,,,,,,31563458,4610999,14.60866233351238,PASS,PASS,343698292,f592c3ae20935d7623d465e8aacf22703c6861876d758117adba705110f2d0fc,446df40465ad55181b95112968f999534c7d6cb1a2f4d22b4014ecdda120b493,c2cb953968812a9e401ea362c4aa6cdeea9e03453fbdcaa651cfb01734914405,5daeae93a23255c39e9276017e14d78a545bbb684b9c6400928f4fbb1f653e49,sha256:8e74a58284a6e8c22ac9cbf60231f69217c3cae31c231ef17b0afd81726b8249,verification/dedup_workspace_reuse/dedup-workspace-exact-1-compact-v2/verification.json,performance/dedup_workspace_reuse/dedup-workspace-exact-1-compact-v2/perf.jsonl,directly-comparable,"Identical family, fixture generator, schedule, operation and timer source at v0.1.3 and candidate; runtime recipe/content and timer validation required. Optional endurance unexecuted historically.",9f5a641d223606c45e5e6aa8a20094c12f9139a1
dedup_workspace_reuse,dedup-workspace-exact-10-compact-v2,10,10485760,10,compact-low-tier-v2,1,1,pure_call_sum_ns,94423792,PASS,PASS,15000000000,PASS,955406750,489003208,8759417,49605292,,32667166,70709,3321208,26640384,10739712,93538625,host process after-product minus before counters,38820000,2.3816247079957975,,,,,,,,109324875,-14901083,-13.630093791554758,PASS,PASS,353684458,f592c3ae20935d7623d465e8aacf22703c6861876d758117adba705110f2d0fc,446df40465ad55181b95112968f999534c7d6cb1a2f4d22b4014ecdda120b493,c2cb953968812a9e401ea362c4aa6cdeea9e03453fbdcaa651cfb01734914405,770d1f91a4a1be8c832f7db61822e9825fe1dc542ad8e1d4fc8a2a2d72a278dd,sha256:8e74a58284a6e8c22ac9cbf60231f69217c3cae31c231ef17b0afd81726b8249,verification/dedup_workspace_reuse/dedup-workspace-exact-10-compact-v2/verification.json,performance/dedup_workspace_reuse/dedup-workspace-exact-10-compact-v2/perf.jsonl,directly-comparable,"Identical family, fixture generator, schedule, operation and timer source at v0.1.3 and candidate; runtime recipe/content and timer validation required. Optional endurance unexecuted historically.",9f5a641d223606c45e5e6aa8a20094c12f9139a1
