family,case,elapsed_ns,pending_duplicate_objects,pending_duplicate_bytes,cross_batch_skipped_objects,cross_batch_skipped_bytes,conflict_read_ns,sql_commit_ns,total_count,sql_returned_ids,slab_consumer_idle_ns,slab_send_blocked_ns,direct_pipeline_wall_ns,producer_blocked_max_ns,user_cpu_ns,system_cpu_ns,lifetime_peak_rss_bytes,sampled_rss_peak_bytes,store_allocated_bytes,raw_path,sha256
dedup_cdc_locality,dedup-cdc-common-body-1,7413791,55,770414,0,0,10002,1872834,1,92,1417753,397791,3956375,397791,8485750,18307291,16728064,15302656,1413120,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-issue95-runs/terminal-benchmark/performance/dedup_cdc_locality/dedup-cdc-common-body-1/perf.jsonl,af4c9af55ac4fdc835a1da53f341614f0ee4679c1818d09e877fb26bb77a0543
dedup_cdc_locality,dedup-cdc-common-body-10,21946000,107,2009490,291,5509550,1235460,5208875,1,265,5430874,3193082,15174500,1160791,28468084,25292375,27639808,25591808,4165632,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-issue95-runs/terminal-benchmark/performance/dedup_cdc_locality/dedup-cdc-common-body-10/perf.jsonl,88b95c9ec9c61b4151af2a374ea4545f33d0155fc536db063bf250d08fcb0e49
dedup_cdc_locality,dedup-cdc-common-body-100,112401542,1349,26949382,2504,48916669,1602284,42627668,8,1916,4953505,539825705,108514875,80828416,206658125,90929708,61390848,61407232,30691328,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-issue95-runs/terminal-benchmark/performance/dedup_cdc_locality/dedup-cdc-common-body-100/perf.jsonl,cd66123f83c94275a57a5777c2d280c3ab23655aced1f00542f2b128d73452c7
dedup_cdc_locality,dedup-cdc-common-body-500,589079000,2976,59400155,16076,320213293,2001027,283693918,36,9254,6886626,3719252481,576872417,472687832,1012941209,403585709,67190784,67207168,148758528,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-issue95-runs/terminal-benchmark/performance/dedup_cdc_locality/dedup-cdc-common-body-500/perf.jsonl,4474d21ff20e80b4e3e50400999c1f60587aa80a3427f65b93127e6120254e97
dedup_cdc_locality,dedup-cdc-delete-1,6372292,64,937391,0,0,7750,1916000,1,83,1277959,414833,2641209,414833,8144333,18921625,16744448,15532032,1241088,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-issue95-runs/terminal-benchmark/performance/dedup_cdc_locality/dedup-cdc-delete-1/perf.jsonl,8391149f5bbb8987755814fa58cff4d985495cfeb2e1ad72d191ceacbfcb938a
dedup_cdc_locality,dedup-cdc-delete-10,18376000,170,2819316,357,7115967,1571209,2677916,1,131,8400751,2053958,14197250,1095833,24237167,21750750,20873216,20676608,1671168,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-issue95-runs/terminal-benchmark/performance/dedup_cdc_locality/dedup-cdc-delete-10/perf.jsonl,47a93705f105d68d1acb4ab6db02f3ac7058d24c53c9b6774de14c9032d9e103
dedup_cdc_locality,dedup-cdc-delete-100,43548667,946,17842787,4249,83626752,3033026,5818958,2,529,7842830,60256875,35283750,8406832,172610917,50619708,30572544,30081024,4325376,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-issue95-runs/terminal-benchmark/performance/dedup_cdc_locality/dedup-cdc-delete-100/perf.jsonl,836a7199cce9800d335d07f9eab0d71273215f7fcbf6e19a607f4113595ceaab
dedup_cdc_locality,dedup-cdc-delete-500,170697125,3552,69378754,22390,441678212,25975680,20087208,4,2154,14552349,453137871,163601333,57119381,836777042,154073334,44761088,44630016,13369344,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-issue95-runs/terminal-benchmark/performance/dedup_cdc_locality/dedup-cdc-delete-500/perf.jsonl,a2d3b168b83d6018983ea0f4a0426a663b69127cd488da12f6a443e6ad01059e
dedup_cdc_locality,dedup-cdc-insert-1,6294375,71,1029516,0,0,7417,1672166,1,81,1337249,0,2753250,0,8557500,22580959,16105472,14958592,1155072,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-issue95-runs/terminal-benchmark/performance/dedup_cdc_locality/dedup-cdc-insert-1/perf.jsonl,3df6b82ea8ab1e5d5831dd721acaa46281e818346b5a278822b0367dea6421f6
dedup_cdc_locality,dedup-cdc-insert-10,17536000,190,3084247,362,6987873,1489832,2974584,1,130,7180418,2484917,12476125,1003833,24232750,23904583,20103168,19972096,1613824,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-issue95-runs/terminal-benchmark/performance/dedup_cdc_locality/dedup-cdc-insert-10/perf.jsonl,7df7e826f8a0fc8d05b197b00452b3043817f8f87fdefa4b1166e625287ba3d5
dedup_cdc_locality,dedup-cdc-insert-100,49491000,960,17222210,4435,84536684,5127216,10960667,2,562,5321989,146116080,45817542,21937875,177190000,58898792,31670272,31080448,4878336,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-issue95-runs/terminal-benchmark/performance/dedup_cdc_locality/dedup-cdc-insert-100/perf.jsonl,f1819cd18d483ae82e6e6ae0dc5389aae310b50465b9154b4c1a5e88ab6a160e
dedup_cdc_locality,dedup-cdc-insert-500,237827167,3112,58489011,23836,454518636,28699749,30008793,4,2286,32570156,753265571,226327584,98318128,897058291,188539792,46596096,46481408,15577088,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-issue95-runs/terminal-benchmark/performance/dedup_cdc_locality/dedup-cdc-insert-500/perf.jsonl,908beedfbfcfcca9fa8fd2e65a41aeef271344a5fd09e38286e9961d9a46b28b
