family,case,elapsed_ns,pending_duplicate_objects,pending_duplicate_bytes,cross_batch_skipped_objects,cross_batch_skipped_bytes,conflict_read_ns,sql_commit_ns,total_count,sql_returned_ids,slab_consumer_idle_ns,slab_send_blocked_ns,direct_pipeline_wall_ns,producer_blocked_max_ns,user_cpu_ns,system_cpu_ns,lifetime_peak_rss_bytes,sampled_rss_peak_bytes,store_allocated_bytes,raw_path,sha256
dedup_cdc_locality,dedup-cdc-common-body-1,6691667,55,770414,0,0,10584,1641666,1,92,1359334,483000,3678208,483000,8374125,24588375,16596992,15187968,1413120,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-issue91-runs/r26-full-benchmark-final/performance/dedup_cdc_locality/dedup-cdc-common-body-1/perf.jsonl,0474c9565932ff05b34a1edc09422960547a4a8d913cf209d2188e726f40954f
dedup_cdc_locality,dedup-cdc-common-body-10,25391000,106,2022664,292,5496376,7609961,5985750,1,265,1145120,4668420,17729917,1815877,34905792,35773334,25640960,25477120,4165632,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-issue91-runs/r26-full-benchmark-final/performance/dedup_cdc_locality/dedup-cdc-common-body-10/perf.jsonl,60b33a71a6697fab0ed2912e028b04403d7a27906d2cb7c4f34f8a7264bf4db9
dedup_cdc_locality,dedup-cdc-common-body-100,189509833,695,13546323,3158,62319728,88007629,40284040,8,1916,2196586,1066531250,184921792,155825797,286057000,92369958,60555264,59785216,30703616,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-issue91-runs/r26-full-benchmark-final/performance/dedup_cdc_locality/dedup-cdc-common-body-100/perf.jsonl,ea2b4b283e01d9c99de1bc1451a03b6e59301fe7e5a7c59e3c1e6491205e907e
dedup_cdc_locality,dedup-cdc-common-body-500,990060125,1982,39642965,17070,339970483,524256602,175974958,36,9254,5281367,6911275004,982288167,877972375,1462594625,350177000,63864832,63897600,149803008,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-issue91-runs/r26-full-benchmark-final/performance/dedup_cdc_locality/dedup-cdc-common-body-500/perf.jsonl,323963136c67180e95de324887fcd759c70d30bbda47ab96a0344a8d32a46e3c
dedup_cdc_locality,dedup-cdc-delete-1,6297917,64,937391,0,0,7752,1461083,1,83,1328834,485875,2915083,485875,8663375,27192500,16596992,15368192,1241088,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-issue91-runs/r26-full-benchmark-final/performance/dedup_cdc_locality/dedup-cdc-delete-1/perf.jsonl,405892ab02aad033b9f75b1b641c5a029217785a7bc654c442b746c037e8a2ce
dedup_cdc_locality,dedup-cdc-delete-10,19955209,201,3444702,326,6490581,9082333,2431791,1,131,2016454,3121876,16181625,1149500,32603541,30081208,21250048,21069824,1671168,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-issue91-runs/r26-full-benchmark-final/performance/dedup_cdc_locality/dedup-cdc-delete-10/perf.jsonl,d07187b2e84483f896b7e33e908babdfb4d91b538f180daa236afcd733b7d44d
dedup_cdc_locality,dedup-cdc-delete-100,150029916,853,15782731,4342,85686808,119406747,5809042,2,529,2606632,827513828,141552209,113638915,284247875,61308125,30441472,29982720,4329472,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-issue91-runs/r26-full-benchmark-final/performance/dedup_cdc_locality/dedup-cdc-delete-100/perf.jsonl,e325d84104cd31dcdd8419cb25ac4ae7aa3d5382851cb999baa5071fa70c53de
dedup_cdc_locality,dedup-cdc-delete-500,765470333,2490,48494881,23452,462562085,659526924,15269458,4,2154,5876399,5152745309,759557500,655958332,1422206958,169320334,41533440,41418752,14225408,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-issue91-runs/r26-full-benchmark-final/performance/dedup_cdc_locality/dedup-cdc-delete-500/perf.jsonl,d92b27e0d92a69aa46745e6e0b77fe631e03efce102d6d1cd29f15cba8c450f0
dedup_cdc_locality,dedup-cdc-insert-1,5957917,71,1029516,0,0,6291,1296417,1,81,1314002,0,2880583,0,8292333,23611375,16809984,16662528,1155072,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-issue91-runs/r26-full-benchmark-final/performance/dedup_cdc_locality/dedup-cdc-insert-1/perf.jsonl,46c2273cdf82d24762c41150f168a243cde49cd4a640e72c9fbd3167c7baa530
dedup_cdc_locality,dedup-cdc-insert-10,19470709,160,2577306,392,7494814,10178997,2017666,1,130,1274502,5434416,14795291,2402291,32781167,28931083,20250624,20283392,1609728,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-issue91-runs/r26-full-benchmark-final/performance/dedup_cdc_locality/dedup-cdc-insert-10/perf.jsonl,33b43a41906c0d046bb50d6a63736d02d81f21add352c8ff06f0dd7eba77ef20
