arm,step,exec_ns,commit_ns,paired_ns,allocated_bytes,apparent_bytes,growth_bytes,transfer_ns,spool_allocated_bytes,container_staging_allocated_bytes
baseline,1,13762250,8319834,22082084,163840,163840,8192,314518375,8192,24576
baseline,2,6528166,5813167,12341333,163840,163840,8192,203059167,12288,28672
baseline,3,7219084,6886125,14105209,163840,163840,8192,257228042,16384,32768
baseline,4,5437167,5546500,10983667,163840,163840,8192,203474083,20480,36864
baseline,5,6446583,6213834,12660417,229376,176128,73728,211248958,24576,40960
baseline,6,5513041,6372917,11885958,229376,176128,73728,214120542,28672,45056
baseline,7,6506167,7113667,13619834,229376,176128,73728,265265167,32768,49152
baseline,8,8479291,7332083,15811374,229376,176128,73728,253226083,36864,53248
baseline,9,6250291,6435417,12685708,229376,180224,73728,256034625,40960,61440
baseline,10,5923583,6271166,12194749,229376,180224,73728,221670458,45056,77824
baseline,11,8113000,6473083,14586083,229376,180224,73728,271628167,49152,28672
baseline,12,6028250,6067708,12095958,229376,180224,73728,326955125,53248,32768
baseline,13,5287334,5748458,11035792,229376,184320,73728,202164500,57344,36864
baseline,14,5385375,5690709,11076084,229376,184320,73728,206166541,61440,40960
baseline,15,5539542,5941584,11481126,229376,184320,73728,256214583,65536,45056
baseline,16,5501708,6139083,11640791,229376,184320,73728,214584292,69632,49152
baseline,17,5347875,5934917,11282792,229376,188416,73728,193799583,73728,53248
baseline,18,5476166,6057583,11533749,229376,188416,73728,204676417,77824,57344
baseline,19,7231958,6737250,13969208,229376,188416,73728,327996459,81920,65536
baseline,20,6887125,7482625,14369750,229376,192512,73728,314354834,86016,81920
baseline,21,6534583,6399833,12934416,229376,196608,73728,316106000,90112,24576
baseline,22,6096834,6183209,12280043,229376,196608,73728,197204709,94208,28672
baseline,23,6631334,5932208,12563542,229376,196608,73728,202501875,98304,32768
baseline,24,7099750,7079000,14178750,229376,200704,73728,316868208,102400,36864
baseline,25,5938917,5520042,11458959,229376,200704,73728,204873500,106496,40960
baseline,26,6284208,6002791,12286999,229376,200704,73728,207761000,110592,45056
baseline,27,6130166,5596500,11726666,229376,200704,73728,206132541,114688,49152
baseline,28,6702083,7602208,14304291,229376,204800,73728,317043375,118784,53248
baseline,29,7171666,6991500,14163166,229376,204800,73728,261555333,122880,61440
baseline,30,6311584,7272459,13584043,229376,212992,73728,329674000,126976,77824
candidate,1,8647417,8126125,16773542,155648,155648,0,302744416,8192,24576
candidate,2,6286417,5517250,11803667,221184,163840,65536,262067792,12288,28672
candidate,3,6761041,6346625,13107666,221184,163840,65536,198265125,16384,32768
candidate,4,6285459,5430000,11715459,221184,163840,65536,255729208,20480,36864
candidate,5,6931834,6336541,13268375,221184,163840,65536,270296583,24576,40960
candidate,6,10152292,6663416,16815708,221184,167936,65536,196728250,28672,45056
candidate,7,7054958,6084250,13139208,221184,167936,65536,250791166,32768,49152
candidate,8,6654125,7003958,13658083,221184,167936,65536,264227584,36864,53248
candidate,9,6794709,6146750,12941459,221184,167936,65536,248401833,40960,61440
candidate,10,6726375,6983792,13710167,221184,172032,65536,319080500,45056,77824
candidate,11,6149958,5659333,11809291,221184,172032,65536,246564834,49152,28672
candidate,12,7190000,6488417,13678417,221184,172032,65536,268644125,53248,32768
candidate,13,6329500,6322625,12652125,221184,172032,65536,305869959,57344,36864
candidate,14,6816458,6037500,12853958,221184,176128,65536,214696375,61440,40960
candidate,15,5906541,10381334,16287875,221184,184320,65536,209723333,65536,45056
candidate,16,5701584,5951666,11653250,221184,184320,65536,256562417,69632,49152
candidate,17,5628875,5580500,11209375,221184,184320,65536,205210084,73728,53248
candidate,18,6902625,6704750,13607375,221184,188416,65536,249471958,77824,57344
candidate,19,6644667,7024375,13669042,221184,188416,65536,252891625,81920,65536
candidate,20,6792209,5871250,12663459,221184,188416,65536,312881833,86016,81920
candidate,21,7217625,5920250,13137875,221184,188416,65536,258722500,90112,24576
candidate,22,6177375,6265083,12442458,221184,192512,65536,319074708,94208,28672
candidate,23,6620458,6206583,12827041,221184,192512,65536,253219166,98304,32768
candidate,24,8247750,6763917,15011667,221184,192512,65536,262229584,102400,36864
candidate,25,6949084,6528875,13477959,221184,192512,65536,255226709,106496,40960
candidate,26,6283209,6496542,12779751,221184,196608,65536,297790584,110592,45056
candidate,27,7014500,6084042,13098542,221184,196608,65536,262210625,114688,49152
candidate,28,6840250,6775375,13615625,221184,196608,65536,255752250,118784,53248
candidate,29,7180459,6856792,14037251,221184,196608,65536,325143333,122880,61440
candidate,30,6694541,6718417,13412958,221184,208896,65536,214005125,126976,77824
