arm,step,exec_ns,commit_ns,paired_ns,exec_host_cpu_ns,commit_host_cpu_ns,store_allocated_bytes,growth_bytes
parent,1,8647417,8126125,16773542,3449167,3263708,155648,0
parent,2,6286417,5517250,11803667,1915291,2521418,221184,65536
parent,3,6761041,6346625,13107666,2345625,2946292,221184,65536
parent,4,6285459,5430000,11715459,2049876,2427250,221184,65536
parent,5,6931834,6336541,13268375,2178958,2883375,221184,65536
parent,6,10152292,6663416,16815708,2066041,3151833,221184,65536
parent,7,7054958,6084250,13139208,2377167,2997458,221184,65536
parent,8,6654125,7003958,13658083,2293667,3211083,221184,65536
parent,9,6794709,6146750,12941459,2378416,3091875,221184,65536
parent,10,6726375,6983792,13710167,2151959,3255417,221184,65536
parent,11,6149958,5659333,11809291,2023417,2469000,221184,65536
parent,12,7190000,6488417,13678417,2430042,2959208,221184,65536
parent,13,6329500,6322625,12652125,2245834,2871834,221184,65536
parent,14,6816458,6037500,12853958,2608542,2887001,221184,65536
parent,15,5906541,10381334,16287875,2191542,3816792,221184,65536
parent,16,5701584,5951666,11653250,1987416,2644625,221184,65536
parent,17,5628875,5580500,11209375,1800750,2731041,221184,65536
parent,18,6902625,6704750,13607375,2609584,3115875,221184,65536
parent,19,6644667,7024375,13669042,2318333,3222874,221184,65536
parent,20,6792209,5871250,12663459,2154208,2820126,221184,65536
parent,21,7217625,5920250,13137875,2746251,2766626,221184,65536
parent,22,6177375,6265083,12442458,2150167,2710041,221184,65536
parent,23,6620458,6206583,12827041,2204500,2827208,221184,65536
parent,24,8247750,6763917,15011667,2492666,3041541,221184,65536
parent,25,6949084,6528875,13477959,2481833,2856583,221184,65536
parent,26,6283209,6496542,12779751,2238583,2867125,221184,65536
parent,27,7014500,6084042,13098542,2073168,2790542,221184,65536
parent,28,6840250,6775375,13615625,2435042,3227834,221184,65536
parent,29,7180459,6856792,14037251,2579707,3257751,221184,65536
parent,30,6694541,6718417,13412958,2501624,3277249,221184,65536
optimized,1,14133750,7102000,21235750,3050209,2585792,155648,0
optimized,2,6729708,5895625,12625333,2225125,2689708,155648,0
optimized,3,5822959,5619416,11442375,1898625,2492208,221184,65536
optimized,4,5356125,5563542,10919667,1773250,2561792,221184,65536
optimized,5,6601125,6251709,12852834,2302542,3042875,221184,65536
optimized,6,5476208,5391583,10867791,1647750,2343833,221184,65536
optimized,7,7127500,5810375,12937875,1961709,2529875,221184,65536
optimized,8,7222417,6444417,13666834,2261042,2915792,221184,65536
optimized,9,6878042,5988500,12866542,2408792,2757917,221184,65536
optimized,10,7365208,7331750,14696958,2600208,3451334,221184,65536
optimized,11,6348250,6871875,13220125,2110292,3063541,221184,65536
optimized,12,6043666,5945417,11989083,1816208,2664084,221184,65536
optimized,13,5373667,5720917,11094584,1850208,2533916,221184,65536
optimized,14,6822708,6788291,13610999,2141126,3070084,221184,65536
optimized,15,6691000,7259291,13950291,2171167,3459375,221184,65536
optimized,16,7318917,6570292,13889209,2464125,2753000,221184,65536
optimized,17,6089000,6659333,12748333,1975958,3028458,221184,65536
optimized,18,7401416,5518958,12920374,2213167,2324042,221184,65536
optimized,19,5979375,6422416,12401791,1949625,3079084,221184,65536
optimized,20,6853542,6882917,13736459,2258708,3286167,221184,65536
optimized,21,7053917,6979292,14033209,2305374,3140792,221184,65536
optimized,22,7341291,6368083,13709374,2313458,2614666,221184,65536
optimized,23,6377500,5442750,11820250,1770750,2551166,221184,65536
optimized,24,10077041,7573084,17650125,2704500,3231208,221184,65536
optimized,25,7574459,6481042,14055501,2525250,3214709,221184,65536
optimized,26,7124375,5606083,12730458,2203417,2640625,221184,65536
optimized,27,6530375,6002625,12533000,2218875,2684459,221184,65536
optimized,28,5875292,5898625,11773917,1844041,2538542,221184,65536
optimized,29,6935875,7019125,13955000,2520000,3350500,221184,65536
optimized,30,6191875,6841584,13033459,1979666,3488667,221184,65536
